,caseid,topk_ids,topk_sims,neighbor_modes
11,1239155767,"['1242821929', '1232811757', '1236986011', '1242841519', '1238012883', '1234832275', '1246450301']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9]","{'327d': 1, '331a': 2, '333a': 1, '334c': 1, '332g': 2, '334b': 1, '334h': 2, '333c': 1, '330c': 2, '355e': 1}"
12,1241067633,"['1237019861', '1236646015', '1249716249', '1244544799', '1245367809', '1243892483', '1250290703', '1235680533']","[1.0, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]","{'327d': 2, '331a': 2, '333a': 1, '334c': 2, '332g': 2, '334b': 1, '334h': 1, '333c': 1, '330c': 2, '355e': 2}"
13,1236655675,"['1240377817', '1238943343', '1236892893', '1251661885', '1245174693']","[0.9, 0.9, 0.9, 0.9, 0.9]","{'327d': 1, '331a': 1, '333a': 2, '334c': 1, '332g': 2, '334b': 2, '334h': 2, '333c': 2, '330c': 2, '355e': 2}"
14,1241020639,['1236579059'],[1.0],"{'327d': 1, '331a': 1, '333a': 2, '334c': 2, '332g': 1, '334b': 1, '334h': 2, '333c': 2, '330c': 1, '355e': 2}"
15,1241524999,['1240459041'],[1.0],"{'327d': 2, '331a': 1, '333a': 1, '334c': 1, '332g': 1, '334b': 1, '334h': 1, '333c': 1, '330c': 1, '355e': 1}"
16,1236632893,"['1237399907', '1237531341', '1234896329', '1237167917', '1241066287', '1237030297', '1235705147', '1239994543', '1238854365', '1238906527', '1236783431', '1243729473', '1232814869', '1237757615', '1237566753', '1237531087']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9]","{'327d': 2, '331a': 2, '333a': 2, '334c': 1, '332g': 1, '334b': 1, '334h': 2, '333c': 2, '330c': 2, '355e': 2}"
17,1236208691,"['1240428741', '1250515537', '1232197149', '1238288673', '1237206537', '1249778341', '1237833997', '1246280145', '1236922965', '1238877839', '1232691077', '1237530437', '1240404095']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9]","{'327d': 1, '331a': 2, '333a': 2, '334c': 1, '332g': 2, '334b': 1, '334h': 1, '333c': 1, '330c': 1, '355e': 2}"
18,1239736413,"['1239677417', '1237051349']","[0.9, 0.9]","{'327d': 1, '331a': 2, '333a': 1, '334c': 1, '332g': 1, '334b': 1, '334h': 2, '333c': 2, '330c': 2, '355e': 2}"
19,1236815145,['1246404465'],[1.0],"{'327d': 1, '331a': 2, '333a': 1, '334c': 1, '332g': 1, '334b': 1, '334h': 1, '333c': 2, '330c': 1, '355e': 2}"
20,1237439219,"['1245221159', '1236629815', '1237562061', '1241018803', '1236921647', '1234644597', '1237702933', '1239497045', '1242453211', '1238977205', '1242479007']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.9]","{'327d': 1, '331a': 1, '333a': 1, '334c': 1, '332g': 2, '334b': 1, '334h': 1, '333c': 2, '330c': 1, '355e': 1}"
21,1236141841,"['1256186829', '1236946993', '1238289109', '1247685111', '1243727933', '1243746655']","[0.9, 0.9, 0.9, 0.9, 0.9, 0.9]","{'327d': 1, '331a': 2, '333a': 1, '334c': 1, '332g': 2, '334b': 1, '334h': 1, '333c': 2, '330c': 2, '355e': 1}"
22,1236779385,"['1239074743', '1245200373']","[1.0, 1.0]","{'327d': 1, '331a': 2, '333a': 2, '334c': 1, '332g': 2, '334b': 2, '334h': 1, '333c': 2, '330c': 2, '355e': 2}"
23,1243909695,"['1235793401', '1245199191', '1242430979', '1242284785', '1245198373', '1237531005', '1237471859', '1244608947', '1239082875', '1238172703', '1245221759', '1237858473']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9]","{'327d': 2, '331a': 1, '333a': 2, '334c': 1, '332g': 1, '334b': 1, '334h': 2, '333c': 2, '330c': 1, '355e': 2}"
24,1235705031,"['1240738573', '1237628705', '1239957919', '1240401523', '1237428423', '1239039145', '1241642457']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9]","{'327d': 1, '331a': 2, '333a': 1, '334c': 2, '332g': 1, '334b': 1, '334h': 1, '333c': 1, '330c': 2, '355e': 2}"
25,1237399907,"['1236632893', '1237531341', '1234896329', '1237167917', '1241066287', '1237030297', '1235705147', '1239994543', '1238854365', '1238906527', '1236783431', '1243729473', '1232814869', '1237757615', '1237566753', '1237531087']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9]","{'327d': 2, '331a': 2, '333a': 2, '334c': 1, '332g': 1, '334b': 1, '334h': 2, '333c': 2, '330c': 2, '355e': 2}"
26,1255813355,"['1237533889', '1246720413', '1237026907', '1232703513', '1238461865', '1245041537', '1242308193', '1238217821', '1235836439']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","{'327d': 1, '331a': 2, '333a': 1, '334c': 1, '332g': 2, '334b': 1, '334h': 1, '333c': 1, '330c': 1, '355e': 2}"
27,1240404095,"['1239360109', '1240087973', '1232569053', '1239086837', '1248076107', '1240430417', '1240378965', '1242476253', '1236208691', '1240428741']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.9]","{'327d': 1, '331a': 2, '333a': 2, '334c': 1, '332g': 2, '334b': 1, '334h': 2, '333c': 1, '330c': 1, '355e': 2}"
28,1238977205,"['1234863299', '1237439219', '1245221159', '1236629815', '1237562061', '1241018803', '1236811057', '1236921647']","[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]","{'327d': 1, '331a': 1, '333a': 1, '334c': 1, '332g': 2, '334b': 1, '334h': 1, '333c': 2, '330c': 1, '355e': 1}"
29,1236680891,"['1239037773', '1255790891']","[1.0, 0.9]","{'327d': 1, '331a': 2, '333a': 1, '334c': 1, '332g': 1, '334b': 2, '334h': 1, '333c': 1, '330c': 2, '355e': 2}"
30,1240428741,"['1236208691', '1250515537', '1232197149', '1238288673', '1237206537', '1249778341', '1237833997', '1246280145', '1236922965', '1238877839', '1232691077', '1237530437', '1240404095', '1237533889']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.9]","{'327d': 1, '331a': 2, '333a': 2, '334c': 1, '332g': 2, '334b': 1, '334h': 1, '333c': 1, '330c': 1, '355e': 2}"
31,1240765531,"['1255813041', '1242430601', '1235380119', '1244906001', '1239036437', '1242595389']","[0.9, 0.9, 0.9, 0.9, 0.9, 0.9]","{'327d': 2, '331a': 1, '333a': 2, '334c': 1, '332g': 1, '334b': 2, '334h': 2, '333c': 2, '330c': 1, '355e': 2}"
32,1238853943,"['1232538525', '1239705035', '1244941839', '1235722927']","[1.0, 1.0, 1.0, 0.9]","{'327d': 2, '331a': 2, '333a': 2, '334c': 1, '332g': 2, '334b': 1, '334h': 1, '333c': 1, '330c': 1, '355e': 2}"
33,1240738573,"['1235705031', '1237628705', '1239957919', '1240401523', '1237428423', '1239039145', '1241642457']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9]","{'327d': 1, '331a': 2, '333a': 1, '334c': 2, '332g': 1, '334b': 1, '334h': 1, '333c': 1, '330c': 2, '355e': 2}"
34,1237858373,"['1238897483', '1246143609', '1242430643', '1232534203', '1235514629', '1240118445', '1238721583', '1246165101', '1239704285', '1239678243', '1240377817', '1244467457', '1236890029']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.9, 0.9]","{'327d': 1, '331a': 1, '333a': 2, '334c': 1, '332g': 2, '334b': 2, '334h': 2, '333c': 2, '330c': 1, '355e': 2}"
35,1235020261,"['1232890971', '1243820059', '1235323831', '1257099773', '1238243917', '1239677025']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","{'327d': 1, '331a': 2, '333a': 2, '334c': 1, '332g': 1, '334b': 2, '334h': 2, '333c': 2, '330c': 2, '355e': 2}"
36,1247684153,[],[],"{'327d': None, '331a': None, '333a': None, '334c': None, '332g': None, '334b': None, '334h': None, '333c': None, '330c': None, '355e': None}"
37,1240377817,"['1238943343', '1251661885', '1245174693', '1236655675', '1237858373', '1238897483', '1246143609', '1240730201', '1246808679', '1242430643', '1232534203']","[1.0, 1.0, 1.0, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]","{'327d': 1, '331a': 1, '333a': 2, '334c': 1, '332g': 2, '334b': 2, '334h': 2, '333c': 2, '330c': 2, '355e': 2}"
38,1239481679,"['1255867599', '1238019637', '1236637001', '1237570021', '1235704329', '1240350793', '1240619599']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9]","{'327d': 1, '331a': 1, '333a': 2, '334c': 1, '332g': 2, '334b': 1, '334h': 1, '333c': 2, '330c': 1, '355e': 1}"
39,1236988715,"['1243711437', '1240763481', '1242413267', '1236929981', '1242413807', '1239421755', '1239117865', '1239247283', '1241893075', '1245012877', '1235023871', '1245297729', '1242825337', '1246776503', '1237068167', '1240023611', '1237955219']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","{'327d': 1, '331a': 1, '333a': 1, '334c': 1, '332g': 2, '334b': 1, '334h': 1, '333c': 2, '330c': 1, '355e': 2}"
40,1234964407,"['1236808667', '1239285057', '1238453845', '1235705685', '1260825743', '1238565149', '1247688027', '1238125459']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.9]","{'327d': 2, '331a': 1, '333a': 1, '334c': 2, '332g': 2, '334b': 1, '334h': 1, '333c': 2, '330c': 1, '355e': 2}"
41,1237531087,"['1238939911', '1243837477', '1237757409', '1232511423', '1238942765', '1236632893', '1237399907', '1238734205', '1237531341', '1234896329', '1232532393']","[1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]","{'327d': 2, '331a': 2, '333a': 2, '334c': 1, '332g': 1, '334b': 1, '334h': 1, '333c': 2, '330c': 2, '355e': 2}"
42,1238594717,"['1251938959', '1240811077', '1239115165', '1235864991', '1243715167', '1236658681', '1236624457', '1239155855', '1237005625', '1237952569', '1236892697', '1240429653', '1242821465', '1241021095', '1239707217', '1237096347', '1238289187', '1240738351', '1236709691', '1237562769']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.9, 0.9]","{'327d': 2, '331a': 1, '333a': 2, '334c': 1, '332g': 2, '334b': 1, '334h': 1, '333c': 2, '330c': 2, '355e': 2}"
43,1240495173,"['1243059271', '1246304421', '1235765253', '1232771081', '1238033043', '1238123093', '1239577167', '1244711557', '1238908109', '1245424181', '1237074435', '1240323703', '1237400307', '1238512833', '1232536265', '1243513805']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.9, 0.9, 0.9]","{'327d': 2, '331a': 1, '333a': 1, '334c': 1, '332g': 2, '334b': 1, '334h': 1, '333c': 2, '330c': 2, '355e': 2}"
44,1242967077,"['1240432537', '1234863299', '1236811057']","[1.0, 0.9, 0.9]","{'327d': 1, '331a': 1, '333a': 1, '334c': 1, '332g': 2, '334b': 1, '334h': 2, '333c': 2, '330c': 1, '355e': 2}"
45,1242883471,"['1236892307', '1239645769', '1243838759', '1232817869']","[1.0, 1.0, 1.0, 1.0]","{'327d': 2, '331a': 2, '333a': 2, '334c': 1, '332g': 2, '334b': 1, '334h': 2, '333c': 2, '330c': 2, '355e': 2}"
46,1236646015,"['1245367809', '1250290703', '1244744573', '1237471407', '1247685999', '1235818711', '1240549503', '1241067633', '1237019861']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.9]","{'327d': 2, '331a': 2, '333a': 1, '334c': 2, '332g': 2, '334b': 1, '334h': 1, '333c': 1, '330c': 2, '355e': 1}"
47,1259387173,"['1244729431', '1245141765', '1238336737', '1246667555', '1239703931', '1242287461', '1257249253', '1255832259', '1240800225', '1240579855', '1238198067']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9]","{'327d': 2, '331a': 2, '333a': 2, '334c': 1, '332g': 2, '334b': 2, '334h': 1, '333c': 2, '330c': 1, '355e': 2}"
48,1242548791,"['1242432175', '1240351539', '1245253653', '1237433811', '1242477833', '1246450301', '1242284723']","[1.0, 1.0, 1.0, 1.0, 0.9, 0.9, 0.9]","{'327d': 1, '331a': 2, '333a': 1, '334c': 1, '332g': 2, '334b': 1, '334h': 2, '333c': 1, '330c': 1, '355e': 2}"
49,1232659739,"['1240519639', '1239356449', '1239281629', '1242555983', '1239038609', '1234690611', '1239707165', '1255856167', '1241496759', '1244542711', '1245117315', '1237561619', '1256030567']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.9]","{'327d': 1, '331a': 2, '333a': 1, '334c': 1, '332g': 2, '334b': 1, '334h': 1, '333c': 2, '330c': 2, '355e': 2}"
50,1240489041,"['1239001863', '1236953303', '1242913991', '1235886157']","[1.0, 1.0, 1.0, 1.0]","{'327d': 2, '331a': 1, '333a': 1, '334c': 1, '332g': 2, '334b': 1, '334h': 2, '333c': 2, '330c': 1, '355e': 2}"
51,1246469937,"['1255787573', '1243566585', '1256280819']","[0.9, 0.9, 0.9]","{'327d': 1, '331a': 2, '333a': 2, '334c': 2, '332g': 2, '334b': 2, '334h': 2, '333c': 2, '330c': 2, '355e': 2}"
52,1255867599,"['1239481679', '1238019637', '1236637001', '1237570021', '1235704329', '1240350793', '1240619599']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9]","{'327d': 1, '331a': 1, '333a': 2, '334c': 1, '332g': 2, '334b': 1, '334h': 1, '333c': 2, '330c': 1, '355e': 1}"
53,1244609507,"['1241574337', '1256186829']","[0.9, 0.9]","{'327d': 1, '331a': 2, '333a': 1, '334c': 1, '332g': 2, '334b': 2, '334h': 1, '333c': 2, '330c': 2, '355e': 2}"
54,1255813041,"['1242430601', '1244906001', '1240765531', '1238847067', '1239318937', '1242455805']","[1.0, 1.0, 0.9, 0.9, 0.9, 0.9]","{'327d': 2, '331a': 1, '333a': 2, '334c': 1, '332g': 1, '334b': 2, '334h': 2, '333c': 2, '330c': 1, '355e': 2}"
55,1240432537,"['1242967077', '1234863299', '1236811057']","[1.0, 0.9, 0.9]","{'327d': 1, '331a': 1, '333a': 1, '334c': 1, '332g': 2, '334b': 1, '334h': 2, '333c': 2, '330c': 1, '355e': 2}"
56,1232901343,"['1236755793', '1240241581', '1239161955', '1242239669', '1237763379', '1241181521', '1239768329', '1240348969', '1237561619', '1245255621']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.9]","{'327d': 1, '331a': 2, '333a': 1, '334c': 1, '332g': 2, '334b': 1, '334h': 2, '333c': 2, '330c': 1, '355e': 2}"
57,1239708297,"['1242431895', '1240193653', '1236840441', '1239330015']","[1.0, 0.9, 0.9, 0.9]","{'327d': 1, '331a': 2, '333a': 2, '334c': 2, '332g': 2, '334b': 2, '334h': 2, '333c': 2, '330c': 1, '355e': 2}"
58,1245365807,"['1247686159', '1232799101', '1238854795', '1240146051', '1242452567', '1235371865']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","{'327d': 2, '331a': 2, '333a': 1, '334c': 1, '332g': 1, '334b': 1, '334h': 1, '333c': 1, '330c': 2, '355e': 1}"
59,1240619599,"['1239481679', '1255867599', '1236892893', '1237331465']","[0.9, 0.9, 0.9, 0.9]","{'327d': 1, '331a': 1, '333a': 2, '334c': 1, '332g': 2, '334b': 1, '334h': 1, '333c': 2, '330c': 1, '355e': 1}"
60,1232523251,"['1235490395', '1242526067', '1244493869', '1238770661', '1242949965', '1243310089', '1235489025', '1249716387', '1236673211', '1238848479', '1241313173', '1232692099', '1240711261']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.9, 0.9]","{'327d': 1, '331a': 2, '333a': 1, '334c': 2, '332g': 2, '334b': 1, '334h': 1, '333c': 1, '330c': 2, '355e': 2}"
61,1238734205,"['1235735201', '1235850683', '1237531087', '1238939911', '1243837477', '1237757409', '1232511423', '1238942765']","[1.0, 1.0, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]","{'327d': 2, '331a': 2, '333a': 2, '334c': 1, '332g': 1, '334b': 1, '334h': 1, '333c': 2, '330c': 2, '355e': 2}"
62,1240738351,"['1236709691', '1238087609', '1235492891', '1237533877', '1239526317', '1255888935', '1237288281', '1237066739', '1239769485', '1244445275', '1241068943', '1238594717', '1239115165', '1235864991', '1243715167']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.9, 0.9, 0.9]","{'327d': 2, '331a': 1, '333a': 2, '334c': 1, '332g': 1, '334b': 1, '334h': 1, '333c': 2, '330c': 2, '355e': 2}"
63,1238897483,"['1237858373', '1246143609', '1242430643', '1232534203', '1235514629', '1240118445', '1238721583', '1246165101', '1239704285', '1239678243', '1240377817', '1244467457', '1236890029']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.9, 0.9]","{'327d': 1, '331a': 1, '333a': 2, '334c': 1, '332g': 2, '334b': 2, '334h': 2, '333c': 2, '330c': 1, '355e': 2}"
64,1246402981,"['1238244917', '1232533353', '1242526459', '1240378911', '1240673891', '1238690539']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","{'327d': 1, '331a': 1, '333a': 1, '334c': 1, '332g': 1, '334b': 1, '334h': 2, '333c': 1, '330c': 1, '355e': 1}"
65,1242821929,"['1239155767', '1232811757', '1236986011', '1242841519', '1238012883', '1234832275', '1246450301']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9]","{'327d': 1, '331a': 2, '333a': 1, '334c': 1, '332g': 2, '334b': 1, '334h': 2, '333c': 1, '330c': 2, '355e': 1}"
66,1238028345,"['1238868107', '1240144791']","[1.0, 0.9]","{'327d': 1, '331a': 2, '333a': 2, '334c': 1, '332g': 2, '334b': 1, '334h': 1, '333c': 1, '330c': 2, '355e': 1}"
67,1242860853,"['1238622215', '1246434223', '1241043701', '1241618821', '1239242651', '1234643055', '1235849905', '1243550577', '1241181463', '1245041739', '1237809495']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","{'327d': 1, '331a': 1, '333a': 1, '334c': 1, '332g': 2, '334b': 1, '334h': 1, '333c': 2, '330c': 2, '355e': 2}"
68,1242387381,"['1246278991', '1242299897', '1240324399', '1250737383']","[1.0, 1.0, 0.9, 0.9]","{'327d': 2, '331a': 2, '333a': 2, '334c': 1, '332g': 2, '334b': 2, '334h': 2, '333c': 2, '330c': 2, '355e': 2}"
69,1235540329,"['1241313095', '1239002913', '1242878941']","[0.9, 0.9, 0.9]","{'327d': 1, '331a': 1, '333a': 1, '334c': 1, '332g': 2, '334b': 1, '334h': 2, '333c': 1, '330c': 1, '355e': 1}"
70,1242431895,['1239708297'],[1.0],"{'327d': 1, '331a': 2, '333a': 2, '334c': 2, '332g': 2, '334b': 2, '334h': 1, '333c': 2, '330c': 1, '355e': 2}"
71,1245255621,"['1240349907', '1232901343', '1236961479']","[1.0, 0.9, 0.9]","{'327d': 1, '331a': 2, '333a': 1, '334c': 1, '332g': 1, '334b': 1, '334h': 2, '333c': 2, '330c': 1, '355e': 2}"
72,1237955145,"['1236482523', '1236890765', '1242485609', '1242966893', '1235358021']","[0.9, 0.9, 0.9, 0.9, 0.9]","{'327d': 1, '331a': 1, '333a': 1, '334c': 1, '332g': 2, '334b': 1, '334h': 2, '333c': 2, '330c': 2, '355e': 2}"
73,1240610621,['1236625835'],[0.9],"{'327d': 1, '331a': 1, '333a': 2, '334c': 2, '332g': 2, '334b': 2, '334h': 2, '333c': 2, '330c': 2, '355e': 2}"
74,1244870453,"['1238257003', '1238341347', '1238935711', '1234863299', '1243429429', '1236811057', '1235358987', '1238204705', '1236890427', '1246543677', '1240401991', '1239074513']","[1.0, 1.0, 1.0, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]","{'327d': 1, '331a': 1, '333a': 1, '334c': 1, '332g': 2, '334b': 1, '334h': 2, '333c': 1, '330c': 2, '355e': 2}"
75,1241283971,"['1239060523', '1244764459', '1239676293', '1256139731']","[1.0, 1.0, 1.0, 1.0]","{'327d': 1, '331a': 1, '333a': 2, '334c': 2, '332g': 1, '334b': 1, '334h': 1, '333c': 1, '330c': 2, '355e': 2}"
76,1240404173,[],[],"{'327d': None, '331a': None, '333a': None, '334c': None, '332g': None, '334b': None, '334h': None, '333c': None, '330c': None, '355e': None}"
77,1236885887,"['1246415899', '1242410097', '1240327337', '1243861749', '1234990381', '1237119701', '1237882041', '1238942837', '1240190605', '1243991199', '1234091303', '1252783785']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","{'327d': 1, '331a': 1, '333a': 1, '334c': 1, '332g': 1, '334b': 1, '334h': 1, '333c': 2, '330c': 2, '355e': 2}"
78,1234802201,"['1235648309', '1242451901', '1236663639']","[1.0, 1.0, 0.9]","{'327d': 1, '331a': 1, '333a': 1, '334c': 2, '332g': 2, '334b': 1, '334h': 2, '333c': 1, '330c': 2, '355e': 2}"
79,1238943343,"['1240377817', '1251661885', '1245174693', '1236655675', '1240730201', '1246808679']","[1.0, 1.0, 1.0, 0.9, 0.9, 0.9]","{'327d': 1, '331a': 1, '333a': 2, '334c': 1, '332g': 2, '334b': 2, '334h': 2, '333c': 2, '330c': 2, '355e': 2}"
80,1240351381,"['1235735655', '1237559191']","[0.9, 0.9]","{'327d': 1, '331a': 2, '333a': 1, '334c': 1, '332g': 1, '334b': 1, '334h': 2, '333c': 1, '330c': 1, '355e': 1}"
81,1239353803,"['1242475831', '1236870167', '1238940359', '1240846073', '1238729663', '1234893053', '1239626647', '1255850795', '1236717699', '1240324245', '1239080931', '1236958455']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.9]","{'327d': 2, '331a': 1, '333a': 1, '334c': 1, '332g': 2, '334b': 1, '334h': 2, '333c': 1, '330c': 2, '355e': 1}"
82,1239677113,"['1250737383', '1240491703', '1236892877', '1239000903', '1239526155', '1238341131', '1237568195', '1244154547', '1240702723', '1243963573', '1235851391']","[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]","{'327d': 2, '331a': 2, '333a': 2, '334c': 1, '332g': 2, '334b': 1, '334h': 2, '333c': 2, '330c': 2, '355e': 2}"
83,1244729431,"['1259387173', '1245141765', '1238336737', '1246667555', '1239703931', '1242287461', '1257249253', '1255832259', '1240800225', '1240579855', '1238198067']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9]","{'327d': 2, '331a': 2, '333a': 2, '334c': 1, '332g': 2, '334b': 2, '334h': 1, '333c': 2, '330c': 1, '355e': 2}"
