caseid,F_AGECAT,F_SEX,F_EDUCCAT2,F_PARTY_FINAL,F_IDEO,F_INCOME,F_RELIG,F_RACETHNMOD
614833.0,D,A,B,B,C,B,K,E
615441.0,B,B,D,D,A,F,H,E
615641.0,C,A,F,C,A,B,J,E
615814.0,D,B,B,C,A,C,K,C
616855.0,B,B,B,C,A,C,K,E
617352.0,C,A,B,C,D,C,J,E
617371.0,C,B,D,A,C,D,H,E
618556.0,B,B,F,C,A,E,J,E
618613.0,C,A,F,A,C,B,J,E
619157.0,D,B,G,C,D,B,J,E
619440.0,C,A,F,D,E,B,B,E
622765.0,C,A,F,C,A,B,J,E
623624.0,C,B,G,B,C,G,H,E
624754.0,B,A,B,A,E,G,B,E
625291.0,B,A,B,A,C,B,J,E
630736.0,D,A,D,C,A,E,J,E
631050.0,B,B,G,C,A,H,K,E
636675.0,A,A,E,D,C,A,A,E
637024.0,A,B,B,A,B,G,J,B
639484.0,C,B,F,C,D,B,J,E
642208.0,C,B,G,B,A,E,J,E
642576.0,C,A,F,C,A,B,J,E
644610.0,B,B,D,D,C,G,H,E
645149.0,A,A,G,D,A,E,J,E
649120.0,C,A,G,B,C,G,H,D
649614.0,B,B,F,C,A,C,J,E
649944.0,B,A,G,A,C,G,J,B
650249.0,D,A,F,C,C,B,J,E
651697.0,C,A,G,A,C,G,K,C
652059.0,A,A,F,B,C,G,J,E
652882.0,B,B,A,B,C,H,J,E
653477.0,C,B,D,B,A,D,J,E
654117.0,D,B,G,C,C,B,J,E
655082.0,D,A,G,A,C,C,H,E
655088.0,B,B,G,B,A,E,E,E
656310.0,B,A,F,B,A,B,K,E
656695.0,D,A,F,C,A,B,J,E
656857.0,B,A,A,A,C,D,H,B
656890.0,B,B,F,D,D,F,K,E
657074.0,C,B,F,D,C,H,K,E
657234.0,A,B,F,B,C,B,J,E
657883.0,A,A,D,C,C,E,H,E
658476.0,C,A,D,B,D,F,J,E
659057.0,D,B,F,C,D,H,J,E
659101.0,B,B,B,A,E,H,A,E
659504.0,B,A,F,C,A,B,J,E
661819.0,C,B,B,A,E,A,G,E
661903.0,D,A,B,A,B,E,J,E
662256.0,C,A,G,D,C,C,A,E
664150.0,C,B,E,A,C,G,K,C
664419.0,B,A,F,B,B,G,H,C
664445.0,A,A,G,B,B,E,B,E
665309.0,C,B,B,C,D,B,K,E
665861.0,D,B,F,C,D,G,H,E
666898.0,B,B,A,B,A,H,G,A
669822.0,C,A,D,B,A,G,J,B
672507.0,C,B,B,C,A,H,K,E
672902.0,C,A,D,A,D,D,J,E
673096.0,D,B,D,A,C,F,L,B
673327.0,D,A,F,C,D,F,J,E
673466.0,D,B,F,C,A,F,K,E
673644.0,C,B,F,C,A,E,A,E
673888.0,A,B,B,B,C,E,B,E
674200.0,A,B,B,B,C,G,J,E
674254.0,B,A,F,A,E,C,B,E
675411.0,C,B,F,C,A,B,K,E
675879.0,B,A,F,B,C,G,J,C
677479.0,C,B,D,B,C,C,E,E
678920.0,C,A,A,C,A,F,J,E
679496.0,C,B,D,A,C,G,J,C
680547.0,A,A,G,D,C,E,H,E
681508.0,B,A,E,D,C,D,H,E
682887.0,B,B,B,B,A,B,J,E
684084.0,A,B,D,A,E,I,J,B
684102.0,A,A,F,A,C,B,J,E
684312.0,C,A,B,A,C,D,J,B
686429.0,C,B,F,B,A,G,J,E
687497.0,A,A,D,D,D,D,H,C
687555.0,B,A,F,C,D,H,K,E
688489.0,C,B,B,A,B,D,K,B
688518.0,B,A,F,C,C,G,K,C
688663.0,B,A,E,C,A,G,J,E
689031.0,D,B,D,D,C,G,J,E
690122.0,C,B,B,B,A,B,K,E
690139.0,C,B,D,B,C,G,H,E
690323.0,C,A,B,C,A,B,J,E
690413.0,B,B,B,B,A,H,K,E
690640.0,B,B,B,A,B,B,E,E
691647.0,D,A,B,A,A,B,J,E
692221.0,D,A,F,B,A,G,J,E
692611.0,C,A,D,C,C,B,J,E
694952.0,C,B,F,B,B,G,H,C
696037.0,D,B,B,C,C,G,K,E
697516.0,B,A,F,C,A,F,J,E
697622.0,B,A,G,B,A,H,B,E
697870.0,D,B,A,A,C,B,J,B
698713.0,B,B,A,D,C,H,A,C
699014.0,D,B,G,C,A,C,K,E
699085.0,B,A,A,A,A,D,J,B
699479.0,D,B,F,C,A,B,D,E
699679.0,B,B,G,C,A,G,J,E
699682.0,B,A,G,A,C,F,J,B
700475.0,B,B,F,A,C,H,G,A
701125.0,D,A,D,B,B,A,J,E
702891.0,B,A,B,C,A,H,K,E
703882.0,C,B,D,A,B,A,J,B
704352.0,B,B,G,C,A,C,B,E
705843.0,C,B,G,B,C,H,J,E
706103.0,B,B,F,B,B,B,K,E
706169.0,B,A,G,B,C,G,H,E
707092.0,D,A,B,A,B,A,H,E
707466.0,B,A,F,A,E,G,J,E
707619.0,B,B,D,B,A,E,J,C
707685.0,C,A,A,C,C,C,A,E
708280.0,D,A,B,B,C,F,J,E
710746.0,D,A,B,C,A,B,K,E
711028.0,D,A,F,A,B,H,B,E
711429.0,A,B,F,C,C,B,H,A
711503.0,B,A,F,C,A,B,J,E
713150.0,D,A,D,B,A,E,H,E
714240.0,D,B,D,C,C,F,J,E
714617.0,B,A,F,C,A,G,J,C
715486.0,B,A,G,B,C,G,L,E
716429.0,D,B,B,C,A,E,L,E
717297.0,D,A,G,C,A,G,J,E
721507.0,B,B,F,B,C,G,J,E
722222.0,C,B,G,C,A,G,J,E
722225.0,D,A,G,C,C,D,J,E
724524.0,B,B,B,B,B,F,A,E
724895.0,D,B,G,B,A,B,J,E
726699.0,B,B,F,C,A,C,J,E
201501116284.0,B,A,F,A,B,C,K,E
201501116636.0,D,A,B,C,A,H,J,E
201501118947.0,D,A,E,C,D,D,J,E
201501119723.0,C,B,G,C,A,H,J,E
201501120917.0,C,A,D,A,E,E,J,E
201501123118.0,C,B,G,A,C,E,J,B
201501123756.0,D,B,A,B,A,H,J,E
201501126872.0,C,B,F,A,C,C,K,E
201501129502.0,C,A,G,C,D,B,J,E
201501131825.0,D,B,D,A,E,E,H,E
201501136088.0,B,A,B,C,C,G,K,C
201501136478.0,B,B,D,C,A,G,J,D
201501136603.0,C,A,G,A,C,C,J,B
201501137331.0,D,A,D,B,B,D,J,E
201501141484.0,B,A,F,A,B,C,K,E
201501173112.0,C,A,B,B,C,B,J,E
201501173352.0,D,A,G,C,A,H,K,C
201501175156.0,D,B,D,B,A,H,J,E
201501175652.0,D,A,F,A,C,H,J,B
201501176961.0,C,A,A,C,A,F,J,E
201501178474.0,C,B,D,B,C,I,L,D
201501179248.0,B,A,B,B,A,H,J,B
201501179962.0,D,A,B,C,D,G,J,E
201501181026.0,C,B,D,C,A,B,J,E
201501187034.0,D,A,G,C,D,E,J,E
201501187063.0,C,B,A,C,A,B,J,E
201501205091.0,D,A,G,C,A,G,J,E
201501208167.0,A,B,G,B,C,H,A,E
201501210328.0,D,A,G,C,C,G,J,E
201501210850.0,C,B,G,D,C,H,J,B
201501211143.0,B,B,B,C,A,G,K,E
201501213011.0,D,B,G,C,A,C,J,E
201501216631.0,D,B,E,A,A,D,J,C
201501218600.0,D,B,F,A,B,G,J,B
201501222530.0,C,A,E,C,C,A,F,E
201501224413.0,C,B,F,B,A,B,K,E
201501229169.0,B,A,G,A,A,H,J,B
201501229748.0,D,A,G,C,D,F,J,E
201501235637.0,D,A,D,C,D,A,J,E
201501266543.0,D,B,G,A,C,E,J,E
201501268222.0,C,B,E,C,D,E,J,E
201501272925.0,B,B,D,C,C,F,L,E
201501278363.0,C,A,G,C,A,G,J,E
201501282208.0,C,A,B,D,C,H,L,E
201501363221.0,B,A,A,B,C,E,H,B
201501487009.0,C,B,F,C,D,B,J,E
201501495540.0,B,B,D,C,D,G,J,E
201501600458.0,B,B,F,A,C,C,J,B
201501600878.0,B,B,G,B,C,D,J,E
201501602002.0,D,B,F,B,C,C,B,E
201501602912.0,C,B,F,A,B,A,J,B
201501603202.0,D,B,F,A,B,C,A,D
201501603687.0,D,B,G,A,C,G,J,E
201501603866.0,D,A,B,C,A,B,J,E
201501604382.0,C,A,A,A,C,A,J,E
201501604808.0,D,B,B,C,D,H,J,E
201501606569.0,B,B,F,C,C,B,J,A
201501607965.0,C,A,D,B,B,A,K,C
201501608920.0,C,A,B,A,E,D,A,E
201501608939.0,B,A,A,B,C,D,J,E
201501609318.0,C,A,G,C,A,B,J,E
201501609825.0,B,A,A,D,C,H,A,B
201501611912.0,C,A,G,C,A,F,J,E
201501613692.0,D,A,B,C,C,H,K,E
201501613977.0,B,A,B,A,B,G,K,C
201501614900.0,D,A,B,B,C,D,H,E
201501615624.0,D,A,G,C,A,G,J,E
201501616464.0,B,B,E,A,C,D,J,B
201501616873.0,C,A,F,A,C,C,J,C
201501618307.0,C,B,E,A,C,A,J,E
201501620202.0,D,B,F,A,E,C,B,E
201501620631.0,B,A,F,A,E,C,J,E
201501620940.0,B,A,G,B,A,H,K,E
201501622506.0,C,B,D,C,A,G,J,E
201501623001.0,B,A,D,D,C,H,H,E
201501623142.0,D,B,B,B,A,F,J,E
201501623519.0,B,A,D,B,C,I,J,E
201501624709.0,C,B,F,B,C,C,K,E
201501625134.0,C,B,E,B,C,I,J,B
201501626706.0,C,A,B,B,B,F,H,E
201501627067.0,B,B,A,B,C,A,J,E
201501627803.0,C,B,B,B,E,C,J,E
201501637936.0,D,B,F,C,A,C,K,E
201501640302.0,A,A,G,B,C,A,J,B
201501641816.0,A,B,A,B,C,D,J,C
201501644026.0,B,A,F,C,A,B,J,E
201501644301.0,A,B,B,D,C,H,A,E
201501647619.0,D,A,B,C,A,G,J,B
201501648255.0,C,B,G,B,C,F,B,E
201501649465.0,A,A,E,D,E,I,J,C
201501651616.0,B,A,F,B,E,H,A,E
201501652117.0,B,B,D,D,E,D,B,E
201501655063.0,C,A,B,C,A,E,J,E
201501656898.0,B,A,F,C,D,B,J,E
201501656958.0,C,B,F,A,B,H,H,E
201501675794.0,C,B,F,B,C,C,J,E
201501676042.0,C,B,F,B,C,D,J,E
201501676243.0,B,A,G,B,C,G,H,B
201501677751.0,B,A,B,B,C,G,H,B
201501677921.0,B,B,B,B,A,B,C,A
201501678530.0,C,B,G,A,A,H,J,E
201501678722.0,C,A,G,A,E,A,K,E
201501679311.0,C,B,G,B,A,C,J,E
201501681333.0,D,B,G,C,A,A,J,E
201501681704.0,D,A,F,A,B,F,H,C
201501681893.0,D,B,G,A,E,C,B,E
201501682703.0,B,B,F,D,B,G,A,E
201501683144.0,B,A,B,A,B,G,B,E
201501683849.0,A,B,B,C,A,C,J,B
201501683916.0,B,B,F,C,A,G,J,E
201501686078.0,A,A,B,A,E,E,A,E
201501687662.0,A,B,B,B,C,B,A,E
201501688012.0,D,B,B,C,A,C,J,E
201501688342.0,A,A,F,B,C,G,J,E
201501688533.0,C,A,D,C,A,H,J,E
201501689077.0,B,A,B,A,B,B,A,E
201501689278.0,B,A,F,B,C,C,J,E
201501691275.0,A,A,B,A,B,I,H,E
201501691562.0,B,B,G,B,E,E,H,C
201501691806.0,B,B,F,B,C,B,J,E
201501692780.0,B,A,G,B,B,B,H,E
201501692813.0,D,B,A,B,D,E,J,E
201501694348.0,B,A,G,C,C,C,H,E
201501695233.0,A,B,D,B,A,H,J,E
201501696206.0,C,A,D,C,D,G,J,E
201501696643.0,B,A,F,C,A,G,J,E
201501696835.0,B,A,E,A,C,I,A,E
201501697631.0,A,A,G,D,C,D,L,E
201501697815.0,B,B,B,A,C,G,K,A
201501698070.0,D,B,B,B,A,C,J,E
201501699704.0,C,B,E,D,D,F,K,E
201501701072.0,B,A,E,B,C,E,H,C
201501725890.0,C,B,B,C,A,C,J,E
201501726018.0,D,B,G,B,C,G,J,E
201501726340.0,A,B,G,A,C,E,K,C
201501730234.0,D,A,D,A,A,E,J,E
201501731289.0,B,A,D,A,C,E,J,B
201501731455.0,D,B,D,A,C,D,H,D
201501732350.0,D,A,F,C,A,B,J,E
201501732670.0,D,B,B,C,D,H,J,E
201501733270.0,B,B,B,A,C,E,K,C
201501735861.0,A,A,G,D,E,I,H,E
201501735882.0,C,A,G,C,A,G,J,E
201501736864.0,B,B,D,B,C,H,B,E
201501737966.0,B,B,B,C,C,B,J,E
201501739207.0,B,B,B,C,C,C,K,E
201501739462.0,B,A,B,B,C,G,H,B
201501739890.0,C,A,A,B,A,A,J,C
201501793855.0,B,B,F,A,C,H,E,E
201701204112.0,D,B,D,C,A,B,K,E
201701218536.0,D,A,D,A,C,G,J,D
201701230788.0,D,B,F,C,A,B,K,E
201701239846.0,B,A,A,C,A,D,K,C
201701243839.0,D,B,E,C,A,E,J,E
201701248969.0,B,A,D,C,A,D,J,E
201701250933.0,B,B,E,C,C,G,J,E
201701251888.0,D,A,B,C,A,B,J,E
201701252988.0,B,B,B,B,C,H,J,E
201701266283.0,C,B,A,A,B,F,B,E
201701271927.0,D,B,A,B,B,G,H,E
201701274719.0,D,A,G,C,A,G,J,E
201701294216.0,D,B,E,C,A,E,J,E
201701294921.0,B,B,D,A,E,G,J,E
201701601003.0,C,B,A,C,A,H,J,E
201701601497.0,B,A,G,A,C,E,K,E
201701605955.0,A,B,A,B,E,E,H,D
201701607001.0,D,A,B,A,B,H,H,E
201701608387.0,D,A,D,C,A,A,J,E
201701611060.0,B,B,F,A,C,C,J,B
201701612937.0,C,B,F,C,A,C,K,E
201701613286.0,D,B,G,C,D,E,J,E
201701613524.0,C,B,D,B,A,C,J,E
201701616369.0,B,B,F,B,C,C,E,C
201701617953.0,C,A,B,C,A,B,J,E
201701619446.0,B,B,G,C,C,G,J,E
201701619463.0,C,B,E,A,E,E,K,C
201701621929.0,C,B,D,C,D,B,J,E
201701622238.0,C,B,F,C,A,B,J,E
201701622285.0,B,B,G,A,B,F,L,D
201701622914.0,C,A,A,A,B,F,C,E
201701628100.0,A,B,G,B,C,F,H,E
201701634066.0,C,B,F,B,B,B,B,E
201701634255.0,D,B,F,C,A,F,H,E
201701635779.0,B,B,A,C,A,H,J,C
201701636901.0,D,A,B,C,A,G,J,E
201701637121.0,B,B,F,B,D,F,J,E
201701640014.0,A,A,F,A,E,D,B,E
201701640523.0,B,B,G,A,C,G,H,C
201701642666.0,C,A,G,A,E,F,J,B
201701645957.0,C,B,D,A,A,A,J,B
201701646732.0,B,A,B,B,C,A,K,B
201701649728.0,B,B,G,B,A,E,H,E
201701651794.0,B,B,F,B,C,G,J,E
201701653417.0,A,B,F,B,E,F,H,A
201701658716.0,C,B,B,A,E,H,J,B
201701659002.0,B,A,E,B,A,I,J,C
201701659298.0,C,B,B,C,A,C,H,E
201701661123.0,B,A,B,C,A,H,J,E
201701663692.0,C,B,E,C,D,A,J,E
201701664888.0,B,B,A,A,C,H,J,B
201701665943.0,C,A,E,D,D,I,J,E
201701667233.0,C,A,B,C,C,H,J,E
201701668073.0,B,A,D,A,C,F,J,B
201701671858.0,C,A,B,C,D,E,J,B
201701675847.0,B,A,D,C,C,E,A,E
201701676912.0,C,A,B,C,C,C,J,C
201701677591.0,A,A,F,A,E,F,H,E
201701683292.0,C,A,A,A,D,C,J,B
201701684911.0,A,B,G,B,C,B,J,C
201701685004.0,B,A,E,C,E,G,J,E
201701687546.0,D,A,D,C,C,G,J,E
201701687851.0,A,B,B,C,D,G,K,E
201701693735.0,D,A,D,A,A,G,K,E
201701695007.0,B,B,G,D,C,C,J,E
201701696980.0,C,A,D,B,C,I,J,E
201701698256.0,B,A,F,A,B,G,J,B
201701706522.0,C,A,B,A,B,C,L,E
201701708734.0,A,A,A,A,B,D,J,C
201701711606.0,A,B,F,B,C,G,J,D
201701714612.0,B,B,F,D,E,D,L,B
201701715648.0,A,B,B,B,C,G,J,E
201701716802.0,D,B,F,B,A,B,K,E
201701719226.0,C,A,D,A,C,E,J,B
201701722580.0,A,B,F,B,C,I,G,A
201701724617.0,B,B,G,C,A,H,J,C
201701725880.0,B,B,F,B,C,B,J,E
201701729596.0,A,B,B,A,E,G,J,E
201801001376.0,C,B,G,C,C,G,K,C
201801001456.0,A,A,D,A,D,I,H,C
201801001857.0,B,A,D,A,B,F,K,C
201801001958.0,C,A,G,C,A,C,J,E
201801001977.0,B,B,E,D,D,G,J,E
201801002764.0,B,A,A,C,A,F,J,E
201801002962.0,A,B,G,A,E,A,B,C
201801003162.0,A,B,G,A,A,E,K,C
201801003191.0,C,A,G,C,C,A,J,E
201801003561.0,B,A,D,A,C,G,K,C
201801004012.0,A,A,A,B,B,F,H,B
201801004255.0,C,A,D,A,C,I,J,D
201801004314.0,A,A,A,C,C,E,K,C
201801010934.0,D,A,G,B,C,E,K,E
201801011030.0,B,B,G,D,C,C,K,C
201801011196.0,B,B,A,B,C,B,A,C
201801011224.0,B,A,D,D,B,F,K,E
201801011633.0,A,A,F,B,C,B,J,E
201801011877.0,A,B,G,B,C,E,J,B
201801011949.0,C,A,B,A,C,G,L,E
201801012001.0,A,B,A,D,C,A,C,C
201801012174.0,B,A,B,C,A,H,J,E
201801012248.0,C,A,D,A,C,A,J,B
201801012476.0,A,B,E,D,C,H,H,D
201801012544.0,A,B,G,C,C,F,J,E
201801012704.0,B,B,D,C,A,D,K,E
201801012727.0,A,A,B,C,D,H,J,E
201801012748.0,D,B,F,C,A,B,K,C
201801012890.0,B,B,G,A,E,I,H,B
201801013184.0,C,B,B,A,C,H,H,B
201801013189.0,D,B,B,A,C,E,K,C
201801013339.0,B,B,D,A,B,B,J,B
201801013404.0,A,A,F,B,C,G,J,E
201801013592.0,A,B,D,A,B,D,B,C
201801013929.0,C,B,D,A,C,B,J,C
201801014202.0,C,B,B,D,C,D,C,C
201801014285.0,A,A,B,A,C,E,J,B
201801014390.0,A,A,G,A,A,D,K,C
201801014577.0,B,B,B,D,E,H,K,C
201801014731.0,A,A,D,C,E,A,J,C
201801015016.0,B,A,B,C,A,H,J,E
201801015500.0,B,B,G,C,A,H,H,C
201801017913.0,C,A,E,B,C,G,H,E
201801018122.0,B,A,G,B,C,A,J,E
201801018182.0,C,B,D,A,C,G,F,C
201801018360.0,C,A,D,A,D,B,J,C
201801018472.0,A,A,D,B,B,F,J,C
201801018600.0,C,A,B,B,C,B,H,C
201801018678.0,B,A,B,A,E,A,L,E
201801018713.0,B,A,F,A,B,A,K,C
201801018787.0,C,B,G,D,A,A,J,C
201801018863.0,B,A,G,B,C,G,J,E
201801019064.0,B,B,D,B,C,F,J,E
201801019089.0,B,A,B,B,C,B,J,E
201801019166.0,B,B,G,C,A,C,K,C
201801019195.0,C,B,E,D,C,D,K,C
201801019301.0,B,A,A,D,C,F,H,C
201801019458.0,B,A,G,A,A,G,K,C
201801019537.0,C,A,B,C,A,B,K,E
201801019645.0,A,A,D,A,B,I,A,C
201801019802.0,C,A,G,C,A,F,J,C
201801019889.0,C,B,A,C,B,D,H,C
201801019984.0,B,B,F,A,A,I,A,E
201801020031.0,C,A,F,B,C,C,J,C
201801020088.0,B,A,B,C,A,H,J,E
201801020160.0,B,B,F,B,B,C,A,C
201801020170.0,C,A,F,A,C,F,H,B
201801020339.0,C,A,D,C,A,I,J,C
201801020446.0,B,B,G,C,A,H,J,C
201801020566.0,C,B,D,B,A,G,J,C
201801020998.0,D,A,G,A,D,A,K,C
201801021352.0,C,B,G,A,B,B,K,C
201801021448.0,C,B,B,A,C,E,K,C
201801021976.0,A,A,D,A,C,A,K,C
201801022091.0,D,A,G,A,A,E,K,C
201801022399.0,B,A,B,C,C,C,K,C
201801022406.0,B,A,B,B,C,C,J,E
201801022725.0,B,A,F,C,C,B,K,C
201801022862.0,B,B,D,B,A,F,A,C
201801023124.0,A,A,B,A,E,H,K,C
201801023145.0,B,A,G,D,C,E,J,C
201801023412.0,B,B,G,A,A,H,K,C
201801023477.0,B,A,G,B,A,E,K,E
201801034336.0,C,A,B,B,C,C,H,B
201801034999.0,A,A,A,A,C,A,J,B
201801035067.0,B,A,F,B,C,B,J,B
201801035247.0,C,A,D,A,C,A,J,B
201801035287.0,A,B,G,D,B,D,H,E
201801035385.0,A,B,E,A,C,D,H,D
201801035461.0,B,A,G,A,C,F,J,B
201801035654.0,C,A,A,A,C,I,J,B
201801036052.0,B,A,D,B,B,E,K,E
201801036271.0,B,B,B,A,C,G,J,C
201801036666.0,A,B,D,C,C,G,J,E
201801036725.0,C,B,B,C,A,H,J,E
201801036849.0,B,A,A,A,A,G,J,B
201801036860.0,C,A,E,D,C,I,J,B
201801036988.0,B,A,B,C,A,F,J,E
201801037008.0,C,A,G,A,C,F,J,B
201801037041.0,B,B,A,C,C,A,J,E
201801038465.0,B,A,D,B,D,D,J,E
201801038502.0,B,A,G,D,E,G,H,B
201801039030.0,C,A,F,C,A,B,J,E
201801039165.0,A,A,D,B,C,I,J,C
201801042039.0,B,B,F,B,C,B,J,E
201801042146.0,D,B,F,C,D,B,J,E
201801042161.0,C,B,G,A,C,I,J,B
201801042319.0,A,A,F,A,B,H,K,B
201801042343.0,B,B,G,B,C,H,L,E
201801042426.0,B,A,B,C,A,B,J,E
201801042702.0,B,B,F,A,B,C,J,B
201801042741.0,B,B,F,C,D,B,K,E
201801042771.0,D,A,F,A,B,B,J,B
201801042802.0,B,A,G,B,B,D,J,B
201801042885.0,B,B,B,A,E,H,A,E
201801043078.0,B,B,A,A,C,H,J,B
201801043197.0,C,A,B,A,B,H,H,E
201801043219.0,C,A,D,C,A,E,J,E
201801043371.0,C,B,F,C,A,C,K,E
201801043469.0,B,B,F,A,B,B,J,E
201801043580.0,B,B,F,B,B,B,H,E
201801043713.0,B,A,F,A,B,B,H,E
201801043781.0,B,B,G,A,C,H,J,B
201801043870.0,C,A,G,B,A,G,J,D
201801043915.0,B,B,F,B,C,G,J,B
201801043917.0,C,A,B,A,C,E,J,B
201801044170.0,D,B,D,A,D,G,J,B
201801044350.0,D,A,A,C,A,B,J,E
201801044523.0,C,A,D,A,C,H,J,B
201801044861.0,C,A,F,A,C,A,J,E
201801044875.0,A,A,F,A,B,G,A,C
201801044917.0,A,B,F,A,B,D,B,C
201801045366.0,B,A,B,A,B,F,J,B
201801045388.0,B,A,B,B,A,D,J,E
201801045451.0,B,A,B,C,A,B,J,E
201801045493.0,C,B,B,C,D,A,J,E
201801045550.0,C,B,A,B,A,D,L,E
201801045776.0,C,A,B,B,C,C,J,E
201801045918.0,B,A,G,C,C,A,J,E
201801046063.0,B,B,A,C,D,F,J,D
201801046101.0,B,B,A,A,C,E,J,B
201801046147.0,D,A,F,C,A,F,J,C
201801046156.0,B,B,B,A,A,H,J,C
201801046279.0,C,B,E,B,A,C,J,C
201801046371.0,B,B,A,C,C,G,J,E
201801046472.0,B,B,F,A,A,G,J,B
201801046534.0,C,A,D,B,C,G,H,E
201801046537.0,C,B,B,C,A,C,J,E
201801046833.0,A,A,A,C,A,C,J,E
201801046930.0,A,A,A,A,C,G,H,B
201801046937.0,D,B,D,A,C,B,J,B
201801047132.0,B,A,B,B,A,D,J,B
201801047206.0,B,B,B,B,C,B,J,E
201801047251.0,B,A,G,A,C,H,J,B
