caseid,SOCIETY_TRANS_W92,FREECOLL_W92,UNIMMIGCOMM_W92,ECON4_b_W54,F_PARTY_FINAL,FAMSURV2Wc_W50,F_AGECAT,BILLION_W92,ELECT_IMPT3_PRVFR_W92,F_INCOME,INEQ1_W54,GOVPRIORITYb_W54,POLINTOL2_a_W92,GOVPRIORITYd_W54,SATLIFEc_W50,PROG_RNEED_W92,F_RELIG,FAMSURV6_W50,GODMORALIMP_W92,FAMSURV2Mc_W50,WHADVANT_W92,REPRSNTREP_W92,USEXCEPT_W92,ELECT_CONF3_PRVFR_W92,ELECT_CONF3_PRVSUP_W92,F_SEX,GOVPRIORITYf_W54,REPRSNTDEM_W92,ECON1_W54,ECON4_a_W54,F_RACETHNMOD,GOVPRIORITYc_W54,F_EDUCCAT2,RACESURV52MOD_W92,F_IDEO,F_CREGION,CANDEXP_W92,FIN_SIT_W54,FAMSURV1_W50
104727.0,A,A,A,A,C,C,C,A,D,H,B,A,C,B,B,B,K,C,A,C,C,C,A,B,D,B,B,B,B,B,E,B,D,C,A,A,B,D,B
105124.0,C,D,D,B,C,B,C,B,D,C,A,A,B,C,D,A,K,D,A,B,D,C,A,B,C,B,A,A,B,D,E,C,F,D,A,C,B,C,B
105269.0,A,D,A,B,B,B,D,A,B,G,C,B,D,C,B,C,K,C,D,B,A,A,A,B,C,B,A,C,B,D,E,B,F,C,C,A,C,D,B
106444.0,E,B,A,A,A,B,D,C,D,B,C,C,D,A,D,B,K,C,C,B,B,A,A,D,B,A,A,C,C,D,E,A,B,B,B,B,B,C,A
106960.0,A,A,A,C,A,B,D,C,C,F,A,C,D,B,A,B,K,A,B,B,A,B,A,C,D,A,B,D,B,D,E,B,G,C,C,A,C,D,C
107023.0,C,A,A,D,A,C,C,A,C,D,C,B,D,B,A,B,J,C,B,C,B,A,A,C,B,A,A,C,C,A,B,A,A,D,B,C,C,D,B
107668.0,C,D,B,A,C,C,B,C,D,G,C,B,B,B,B,A,J,C,B,C,C,C,A,B,D,A,B,B,B,B,E,C,B,C,C,C,C,A,B
108035.0,D,D,D,A,C,C,C,C,D,B,B,A,D,C,D,C,J,A,B,C,C,B,C,A,D,B,B,A,B,D,E,D,E,D,D,D,A,C,B
108348.0,D,D,A,D,B,C,C,C,D,E,A,A,B,B,D,A,J,D,B,C,C,C,A,B,D,A,B,A,B,B,E,B,G,D,A,D,B,D,B
109143.0,D,A,B,A,C,B,B,C,D,G,A,A,C,C,B,C,J,D,D,B,C,D,A,A,C,A,B,A,B,A,E,C,D,D,A,C,B,D,B
110041.0,D,D,B,A,C,B,D,C,D,B,C,A,A,B,D,C,K,A,C,B,D,C,A,B,D,B,B,A,B,D,E,B,F,A,A,C,B,C,A
110129.0,D,B,B,A,B,B,D,A,D,F,C,A,B,B,B,A,J,B,B,B,A,C,A,B,D,A,B,A,B,D,E,B,B,C,A,A,C,C,A
112613.0,A,D,D,B,C,B,D,C,D,B,A,A,B,A,D,A,J,C,B,C,D,C,B,C,C,A,A,A,B,D,E,B,F,D,C,C,C,C,A
113412.0,A,B,D,A,B,B,D,C,D,E,A,A,B,B,B,A,L,C,B,C,C,C,B,B,D,A,A,B,B,D,E,B,G,C,C,C,C,D,C
114473.0,D,B,B,C,C,C,D,C,D,I,A,B,C,B,A,A,J,B,B,C,D,C,A,A,C,A,B,A,B,D,E,B,F,D,A,B,C,C,A
115295.0,D,A,D,D,D,B,C,A,D,G,C,A,A,A,B,A,J,C,C,C,D,A,B,A,D,B,A,A,C,A,D,A,A,D,D,D,B,C,B
116151.0,D,D,A,A,C,A,D,C,D,A,A,A,A,D,B,C,J,D,A,A,D,D,B,B,D,A,C,A,B,D,E,B,E,D,D,D,B,B,A
116182.0,A,D,D,B,C,B,C,C,D,B,C,A,B,B,B,A,J,B,C,B,D,C,B,B,D,B,A,A,B,D,E,B,G,D,A,D,C,C,C
116617.0,E,A,A,A,B,B,C,C,D,C,C,B,D,A,D,B,J,C,C,C,B,A,A,D,D,B,A,D,A,B,E,B,F,B,C,C,C,C,B
117214.0,E,C,A,A,B,B,B,A,A,H,C,D,D,A,B,B,A,C,C,B,A,A,C,D,A,B,A,B,C,A,E,A,F,B,E,B,B,C,C
117395.0,E,A,C,D,A,C,D,C,B,B,C,C,B,A,B,B,H,C,C,C,B,A,C,C,A,A,A,C,C,C,E,A,B,B,B,D,C,C,A
118414.0,D,D,A,B,C,B,D,C,D,H,A,A,C,C,D,C,J,D,B,B,C,D,B,A,D,A,B,A,A,A,E,B,D,A,D,A,B,C,A
118423.0,C,A,B,C,A,B,D,C,D,E,C,B,C,A,B,B,K,C,B,B,A,A,A,D,D,A,A,D,C,A,E,B,G,D,B,C,C,D,A
118888.0,E,C,B,A,A,B,D,C,D,H,B,B,D,A,D,B,F,C,D,B,A,B,A,C,D,A,A,D,B,D,E,B,B,A,B,D,C,C,A
119121.0,E,A,C,D,A,B,C,A,D,G,B,C,D,A,A,B,L,A,D,B,A,A,A,D,B,A,A,C,B,A,E,A,G,B,B,C,C,D,C
119392.0,A,D,B,B,C,A,C,A,D,I,B,A,B,B,B,A,K,A,A,B,D,C,A,C,C,A,B,B,C,B,E,B,D,A,C,A,C,B,A
120118.0,B,A,B,D,C,B,B,C,C,E,C,A,D,A,A,A,K,D,A,B,A,C,A,C,D,A,B,C,B,D,E,B,A,A,A,A,B,D,B
121158.0,D,D,D,A,C,B,D,B,D,E,A,A,B,D,B,C,K,D,B,B,C,D,B,C,D,A,B,A,B,D,E,C,B,A,A,C,C,D,C
122265.0,B,D,D,D,C,A,D,C,D,E,C,A,D,B,D,A,K,D,D,A,D,C,A,B,D,B,B,A,A,C,E,C,B,D,A,B,B,D,A
124032.0,D,B,B,A,C,B,D,C,D,G,B,A,B,B,D,A,J,D,B,B,D,C,B,C,C,A,A,A,B,D,E,B,G,C,A,A,D,C,A
124281.0,E,C,C,B,B,B,D,C,D,C,C,C,D,A,D,B,B,C,C,B,B,A,A,D,A,B,A,C,C,D,E,A,F,B,B,D,D,C,B
125421.0,C,A,C,A,B,C,D,A,B,C,C,B,C,A,D,B,B,A,C,C,B,A,C,D,B,A,A,C,C,D,E,B,A,C,C,C,C,C,A
126211.0,D,D,B,D,D,A,D,C,D,E,A,A,B,C,A,A,J,B,A,A,D,C,B,B,D,B,B,A,A,A,E,D,D,A,D,C,C,B,C
127160.0,D,A,A,D,D,B,B,C,B,G,C,B,B,B,A,B,H,D,A,B,B,C,C,D,B,A,A,A,B,A,D,A,F,C,D,C,A,D,C
127498.0,A,A,A,A,B,A,B,A,C,C,C,B,D,A,D,A,I,D,B,A,A,B,A,B,D,B,A,C,B,C,E,A,B,B,A,A,C,D,B
127800.0,A,D,D,B,B,B,B,C,D,B,C,B,A,C,A,C,J,D,B,B,C,D,A,A,D,A,C,A,C,B,E,B,A,B,B,A,B,C,B
128285.0,E,C,A,A,A,B,D,C,C,C,C,C,D,A,B,B,H,C,C,B,B,B,A,D,B,B,A,D,B,D,D,A,F,D,B,B,B,D,A
128558.0,A,D,A,A,C,B,C,C,A,H,A,A,C,C,D,A,J,B,A,B,C,C,A,B,D,A,B,B,B,D,E,B,D,B,A,C,B,C,A
130571.0,D,D,D,B,B,C,D,C,D,E,C,A,A,C,B,A,B,B,C,C,D,C,B,A,D,A,A,A,B,D,C,C,A,A,A,D,B,C,C
135184.0,D,D,B,A,C,B,B,C,D,B,A,A,C,D,B,C,J,D,B,B,C,D,B,B,D,B,C,A,A,A,E,D,B,C,D,C,B,C,B
135751.0,E,A,A,D,A,B,D,C,C,C,C,C,D,A,B,B,B,C,C,B,A,A,C,D,B,B,A,D,C,C,E,A,F,C,B,B,D,C,C
135822.0,D,D,D,D,C,A,B,B,A,G,A,A,D,D,B,C,J,D,B,A,C,C,A,D,D,A,D,A,A,B,E,D,D,B,D,B,D,D,B
136316.0,A,D,B,B,C,B,D,C,D,B,A,A,B,B,B,C,J,A,B,B,A,C,A,C,D,A,B,B,B,D,E,B,A,D,A,C,B,C,A
136999.0,D,C,D,A,C,A,C,C,D,C,A,B,A,C,D,A,E,A,A,B,A,D,B,A,A,A,C,A,A,A,E,C,G,B,A,B,B,C,C
139134.0,B,A,B,B,C,B,C,C,D,C,A,A,C,C,B,A,J,B,B,B,D,C,B,B,D,A,C,B,A,A,E,C,B,A,D,C,B,C,A
141319.0,E,C,A,D,B,B,B,A,A,E,C,C,D,A,A,B,A,A,C,B,B,A,C,D,C,B,A,B,B,A,B,A,D,B,E,A,C,D,B
141442.0,A,D,B,A,B,B,D,B,D,C,A,B,B,B,B,C,J,C,D,B,D,C,A,B,C,B,B,B,B,D,E,C,B,D,A,C,A,D,C
141878.0,B,B,B,C,C,B,D,C,D,G,C,A,B,B,B,A,K,C,B,B,D,C,A,B,D,A,A,A,B,C,E,B,G,D,A,A,D,C,C
142398.0,E,A,A,A,A,B,C,A,C,C,C,C,D,A,D,B,E,C,C,B,B,A,A,C,B,A,A,C,B,A,E,B,F,B,B,B,C,C,B
143915.0,A,C,A,C,C,A,D,C,D,A,A,A,D,B,B,A,J,C,A,B,D,D,B,D,D,B,B,A,C,C,E,B,D,A,A,B,A,D,C
144036.0,A,D,D,B,D,C,C,C,D,H,A,A,B,D,D,C,J,B,A,C,D,C,B,D,D,A,B,A,A,B,E,D,G,A,A,C,B,C,B
144429.0,B,D,D,D,C,B,D,C,D,H,A,A,A,B,C,A,A,B,D,B,D,C,A,A,D,A,B,A,A,A,E,B,F,D,A,A,C,C,A
145364.0,B,D,B,B,C,B,C,B,C,C,A,A,C,B,D,A,K,B,B,B,C,D,A,B,C,B,B,B,B,A,E,C,D,C,A,B,B,C,B
145447.0,A,D,A,D,B,B,D,C,D,C,C,B,D,A,D,B,J,B,B,B,B,A,A,C,D,A,A,B,B,C,E,C,F,B,C,C,D,C,A
146170.0,A,C,B,A,C,B,D,C,D,G,B,B,C,A,B,A,J,A,A,B,A,C,A,C,C,B,A,B,B,D,E,B,G,D,A,D,D,C,C
146434.0,D,C,A,B,C,B,D,C,D,H,C,A,C,B,A,B,K,C,D,B,D,C,A,A,C,A,B,A,B,C,E,B,D,C,C,C,D,D,A
146784.0,D,D,A,D,C,B,C,B,D,A,A,A,B,D,A,C,J,A,A,B,D,C,A,A,C,B,C,A,B,B,C,C,G,D,D,D,B,B,C
147121.0,E,C,B,C,D,B,B,C,C,I,C,A,C,C,C,B,J,A,B,C,A,C,A,C,D,A,B,C,D,C,E,C,D,D,C,C,D,A,A
147701.0,A,A,B,B,B,B,C,C,D,B,A,A,D,C,D,C,K,C,D,B,D,C,B,B,D,B,A,B,A,D,E,B,B,D,C,B,B,C,B
148162.0,A,D,A,A,B,B,C,C,D,C,A,A,B,C,B,C,J,B,B,B,C,B,A,A,D,B,B,A,B,D,E,C,B,C,D,C,A,D,C
150197.0,D,D,B,A,C,A,C,C,D,H,A,B,B,D,B,C,J,B,B,A,D,C,A,B,C,B,D,A,B,D,E,D,G,D,D,A,B,C,B
151929.0,A,B,B,B,C,B,D,C,D,E,A,A,C,B,A,A,J,C,D,B,D,C,B,B,C,B,A,A,B,D,E,B,F,A,A,B,A,B,A
153863.0,A,C,A,B,A,B,D,B,B,A,C,C,B,B,B,B,J,A,A,C,B,B,B,C,D,A,A,D,B,B,B,A,G,B,A,A,D,D,C
154578.0,D,B,D,A,C,C,C,C,A,G,A,B,D,C,C,C,H,C,A,C,A,D,C,A,D,A,C,B,C,A,C,B,D,A,C,D,D,B,C
154874.0,A,D,D,B,C,B,D,C,D,H,C,A,C,A,B,A,J,B,C,B,D,B,A,B,D,A,B,A,C,D,E,B,G,D,D,D,B,D,A
154948.0,E,A,A,B,B,B,D,C,D,H,C,C,D,A,B,B,K,A,C,B,A,A,A,D,C,A,A,C,C,C,E,A,F,D,B,C,B,C,C
155464.0,E,C,A,C,A,B,C,A,D,I,C,D,D,A,C,B,A,C,C,B,B,A,A,A,B,A,A,D,B,B,E,A,D,B,B,D,D,A,A
155606.0,A,A,B,A,C,A,D,C,D,H,C,A,C,B,D,B,J,B,B,B,A,D,A,C,D,B,A,B,B,C,E,B,B,C,A,C,C,C,A
155832.0,B,B,D,D,B,B,C,C,D,H,A,A,A,B,B,C,J,B,B,B,C,B,A,A,C,A,A,A,B,D,E,B,B,D,A,C,D,D,A
156233.0,A,C,D,B,C,B,C,C,D,F,C,A,D,B,B,B,H,C,B,B,B,C,A,C,D,A,B,C,C,A,D,B,F,A,C,B,C,D,B
156660.0,B,C,A,C,B,A,C,B,D,G,C,C,C,A,A,B,C,C,C,B,A,A,A,D,C,B,A,C,C,D,E,C,F,B,C,D,C,D,B
157348.0,A,B,A,A,B,B,B,C,D,H,C,A,D,A,B,A,J,A,B,B,D,A,A,C,D,A,A,C,B,A,E,C,F,C,C,B,B,B,B
157570.0,A,D,A,D,B,B,C,C,B,E,B,B,C,A,C,B,H,C,C,B,A,B,A,C,A,A,B,B,B,A,E,B,D,D,B,D,C,B,B
158846.0,D,A,D,A,C,B,C,A,D,A,A,A,C,C,B,C,J,D,B,B,C,C,A,A,B,B,A,B,B,A,E,B,D,A,A,C,C,B,C
159075.0,A,A,A,C,A,B,C,A,B,A,C,C,D,A,B,B,H,C,B,B,A,A,C,C,B,B,B,C,C,C,D,B,G,C,B,D,B,D,A
159828.0,B,D,A,A,C,B,D,C,D,G,C,A,D,D,D,A,J,C,B,B,D,D,B,C,D,A,B,A,A,A,E,D,G,B,D,C,D,C,A
160170.0,B,B,A,A,B,B,D,C,D,B,C,C,C,B,B,A,J,A,D,A,A,B,C,C,C,B,A,B,C,D,E,B,G,A,C,A,B,D,A
160193.0,B,B,A,C,B,B,D,C,D,E,A,A,C,C,C,A,J,D,B,B,D,B,A,A,D,B,C,A,B,A,E,B,G,A,A,A,B,C,C
161130.0,B,A,B,A,C,B,C,C,D,C,A,A,D,B,B,C,J,D,C,B,D,C,A,B,D,A,C,A,B,A,E,C,A,C,A,C,B,C,A
161820.0,A,C,A,D,C,B,B,C,D,F,B,B,C,C,B,A,K,A,D,C,D,C,C,D,D,A,A,C,B,D,E,A,B,A,C,C,C,B,B
162028.0,A,A,B,C,A,B,D,C,C,E,C,B,D,A,A,B,J,B,B,C,B,A,A,C,D,A,A,C,C,A,B,B,A,C,B,C,B,A,A
162341.0,D,C,D,B,B,A,D,C,D,I,A,A,D,B,D,C,J,D,A,A,C,C,C,D,D,B,A,A,C,B,E,B,B,A,D,D,D,D,B
162517.0,E,C,A,B,A,B,D,C,D,C,C,C,D,A,D,B,K,C,C,B,B,A,A,D,C,B,A,D,C,D,E,A,F,B,E,B,C,C,A
164425.0,D,C,B,A,A,B,D,A,D,F,C,B,A,A,B,B,J,A,A,B,A,A,B,D,D,B,A,D,B,A,E,A,E,A,B,A,A,C,C
166301.0,E,C,C,C,A,C,C,A,D,H,B,C,D,A,D,B,B,C,C,C,B,A,C,D,B,B,A,C,C,B,E,A,G,B,E,B,D,D,B
169249.0,E,A,D,B,A,B,D,C,D,E,C,A,B,A,A,B,K,C,C,B,A,C,A,C,C,A,A,C,C,A,E,A,G,B,C,D,C,B,C
169864.0,A,D,B,B,B,A,D,A,D,B,A,A,C,B,D,A,J,B,B,A,C,C,A,B,D,B,C,A,A,A,E,D,B,B,A,D,A,C,A
172231.0,A,D,D,C,C,B,D,C,D,G,C,B,D,B,A,C,J,B,C,B,D,D,B,B,D,A,A,A,B,D,E,B,B,A,A,C,B,D,A
174032.0,B,D,D,A,C,B,C,C,D,B,A,A,B,C,A,A,J,A,B,C,D,B,A,C,D,B,A,A,C,A,E,C,D,D,D,C,C,B,B
175192.0,D,D,C,C,C,A,C,B,D,G,A,A,A,B,B,C,J,D,A,A,C,C,B,D,D,B,A,A,A,B,E,B,A,D,D,C,C,C,B
175884.0,E,A,A,D,A,B,D,A,D,G,C,C,D,A,B,B,E,C,D,B,B,A,A,D,B,B,A,C,C,D,E,B,B,B,E,D,C,C,A
176214.0,A,A,C,D,A,B,D,A,D,G,B,C,B,A,B,B,J,C,D,B,A,B,A,D,B,A,A,D,B,A,E,A,G,D,C,C,C,D,A
176308.0,B,B,A,A,C,C,C,C,D,C,C,A,C,C,D,C,J,B,B,C,C,C,B,B,C,A,B,B,B,D,E,C,D,D,A,A,C,C,B
176680.0,B,D,D,A,C,B,C,C,D,F,A,A,B,A,A,C,J,B,A,B,D,C,B,A,D,A,B,A,B,A,E,C,G,C,D,A,B,D,B
176709.0,A,D,B,D,B,B,D,C,D,C,A,A,B,D,B,A,J,B,B,B,D,C,A,B,B,B,B,A,A,D,E,C,B,B,A,C,B,C,B
176940.0,C,A,B,A,B,C,D,C,D,G,C,A,C,A,D,A,J,A,C,C,A,B,A,D,D,A,A,D,B,C,E,B,D,C,C,C,C,C,A
177572.0,A,A,A,A,B,B,C,B,D,G,C,B,D,A,B,B,J,A,B,B,A,A,B,C,B,A,A,C,B,D,E,B,B,D,C,A,C,D,B
178470.0,A,C,A,A,A,B,C,C,D,I,C,B,A,A,C,B,J,D,B,B,B,A,A,D,B,A,A,D,D,B,B,A,D,C,A,C,D,A,A
179691.0,A,B,B,B,B,B,C,B,D,G,A,A,C,D,B,C,J,B,B,B,C,C,B,A,C,B,B,A,B,A,E,B,G,C,A,A,B,B,B
179979.0,B,A,D,C,C,B,D,A,D,D,A,A,C,D,B,A,J,A,B,B,C,D,A,B,D,A,B,A,B,A,E,C,D,D,A,A,C,D,A
180286.0,D,B,B,C,C,B,D,B,D,G,A,A,C,C,B,A,J,B,A,B,D,B,B,B,D,B,B,A,B,B,E,C,B,A,A,C,B,D,A
181067.0,C,B,C,D,B,C,C,C,C,G,C,C,D,A,A,B,K,C,C,C,B,A,C,D,B,B,B,C,C,B,E,B,A,C,C,A,D,C,B
181573.0,A,C,A,A,C,B,C,C,D,D,A,B,C,B,B,B,F,A,B,B,C,C,A,C,C,A,B,C,B,A,E,B,E,B,A,D,C,D,A
181690.0,B,D,B,A,B,C,B,A,C,B,C,C,D,B,B,A,J,C,D,C,D,B,A,C,D,B,B,B,B,A,E,C,B,D,C,C,B,C,B
184045.0,A,C,C,A,A,A,D,C,C,G,C,C,D,A,A,B,K,C,B,A,A,A,A,C,D,A,A,D,C,C,E,B,B,C,B,C,C,C,A
184778.0,B,B,B,D,D,B,C,C,D,H,A,B,B,C,A,A,H,B,B,B,D,C,A,B,C,B,B,A,B,D,D,D,G,C,A,A,B,C,B
185293.0,B,A,D,D,C,A,A,C,D,F,C,A,C,B,B,C,E,B,B,A,D,C,A,A,C,A,A,A,B,A,E,B,B,B,A,B,C,D,B
185394.0,E,A,A,D,A,C,C,A,C,I,C,C,D,A,C,B,B,C,C,C,B,A,A,C,B,B,A,C,C,A,A,B,B,B,E,A,C,B,C
186170.0,C,C,B,B,C,C,B,B,D,G,B,A,D,A,D,B,J,C,A,C,A,D,A,C,D,B,A,B,B,C,E,A,A,D,C,A,D,C,B
186444.0,E,D,D,A,C,B,C,C,D,A,C,A,A,A,A,A,K,A,B,C,C,D,A,A,D,A,B,A,C,A,E,B,G,A,C,C,B,A,B
187312.0,C,C,B,A,A,A,C,C,D,B,C,A,D,A,B,B,K,C,B,B,A,A,A,D,D,A,A,C,C,D,E,B,D,A,B,B,C,C,C
188245.0,E,A,B,D,A,B,D,C,D,E,C,B,C,A,B,B,K,B,B,B,B,A,B,C,B,A,A,C,B,A,E,A,D,A,C,C,C,D,A
188340.0,C,B,B,A,C,B,D,C,C,C,C,A,C,C,D,A,J,B,D,B,D,C,A,C,D,B,A,A,B,B,E,B,F,C,A,C,B,D,C
188516.0,B,D,D,A,C,B,C,C,D,C,A,A,B,C,D,A,H,D,D,C,D,C,B,A,D,A,C,A,A,A,E,C,G,A,A,C,B,C,C
190780.0,E,C,A,A,A,B,C,C,C,F,C,B,D,A,D,B,K,C,D,B,A,A,A,C,A,A,A,D,C,A,D,B,G,B,B,A,D,C,C
190961.0,D,B,D,B,C,B,C,C,D,D,C,A,D,D,C,B,J,D,B,B,D,C,A,B,B,A,B,B,C,B,E,A,D,A,A,B,B,B,C
191063.0,A,A,A,D,B,C,C,C,D,H,C,B,C,A,A,B,K,A,B,C,A,B,A,C,C,A,B,B,B,D,E,B,G,D,C,C,C,D,C
191081.0,B,D,B,A,B,C,B,B,D,B,A,A,A,D,B,C,K,A,D,C,D,C,B,A,D,B,B,A,B,B,E,D,G,D,A,A,A,D,B
191336.0,A,A,A,C,A,B,C,A,B,G,C,B,D,A,A,B,K,A,D,C,A,A,B,B,C,B,A,C,D,B,E,A,D,C,B,B,C,B,C
192568.0,C,B,D,A,B,B,A,C,D,H,C,A,C,B,B,A,J,B,B,B,D,C,A,B,D,B,B,B,B,B,E,A,B,A,C,C,B,D,A
192753.0,A,B,B,B,C,B,D,C,D,C,A,A,B,C,B,A,E,A,C,B,D,C,A,A,C,A,B,B,B,B,E,C,B,D,A,A,B,C,C
193408.0,B,A,B,A,C,B,B,C,D,B,A,A,C,C,A,A,J,D,D,B,A,B,A,C,C,B,C,B,A,B,E,B,F,C,A,C,D,C,B
194634.0,A,C,B,D,B,B,C,A,D,A,B,B,C,C,A,A,H,D,B,C,D,B,B,B,D,A,A,C,D,B,E,A,E,D,A,C,D,A,B
194718.0,B,D,D,B,C,B,C,C,D,G,C,A,C,C,D,A,J,D,B,B,D,D,A,B,C,A,B,B,B,A,E,C,G,C,A,C,C,D,C
194860.0,A,D,B,D,B,B,D,C,D,B,A,B,B,D,A,A,J,D,B,B,A,B,A,C,D,A,C,A,C,D,E,D,F,D,D,C,B,B,C
195349.0,B,D,D,D,B,B,C,C,D,G,A,A,B,D,A,A,K,D,B,B,D,C,B,A,D,B,C,A,B,D,E,D,G,D,C,D,A,D,A
195373.0,B,B,D,B,B,B,C,C,D,F,A,A,A,B,B,A,H,C,B,C,C,C,A,A,C,B,B,A,A,D,E,C,G,C,C,D,B,D,A
195400.0,A,D,C,B,C,B,D,C,D,B,A,A,B,C,B,A,C,B,D,B,D,D,A,D,D,B,B,A,A,A,A,B,B,C,A,D,A,C,A
196107.0,D,B,B,B,C,B,D,C,D,G,A,A,B,B,D,A,J,B,A,B,D,C,A,B,C,A,B,A,B,D,E,B,G,A,A,A,C,C,A
196813.0,A,B,A,B,B,B,C,A,C,C,C,B,D,A,B,B,I,C,D,B,B,A,A,D,C,A,A,C,B,A,E,A,G,C,B,A,D,C,B
197087.0,D,A,D,D,B,A,D,A,D,G,C,A,A,D,B,A,K,C,D,B,C,C,B,A,D,B,B,A,B,C,E,B,D,A,C,A,A,D,A
197174.0,A,D,D,B,B,B,D,C,D,E,A,A,B,C,D,C,J,D,B,B,D,D,B,B,D,A,A,A,A,B,E,C,D,D,D,D,B,C,A
198176.0,E,C,C,C,A,B,C,A,D,F,C,B,C,A,A,B,K,C,C,B,B,A,A,D,C,A,A,D,B,C,E,A,A,B,E,B,D,D,C
198205.0,D,D,B,A,C,B,C,C,D,G,A,B,B,D,D,C,J,B,B,B,D,B,B,B,D,B,C,A,B,A,E,D,D,B,D,A,B,D,A
198295.0,E,C,C,A,B,B,C,C,D,G,A,B,D,A,B,B,J,A,A,B,A,A,A,C,C,B,A,D,B,A,E,C,F,C,A,A,C,C,B
198321.0,B,B,A,D,B,B,B,C,C,E,C,C,D,A,C,C,B,B,C,B,C,B,C,B,C,B,D,B,C,A,E,A,A,B,C,A,C,A,B
198449.0,C,B,A,A,A,B,C,B,D,C,C,B,D,A,B,B,K,C,D,B,B,C,A,D,D,B,A,C,C,A,E,A,F,C,B,B,C,C,B
198848.0,A,B,B,A,C,C,C,C,D,B,A,A,B,C,B,A,J,A,B,C,D,C,C,A,D,B,B,A,B,A,E,C,F,C,A,C,B,C,B
198946.0,C,B,D,C,C,B,D,A,D,H,C,A,B,D,D,B,J,C,A,B,B,C,A,B,D,A,A,B,B,D,E,C,F,D,D,D,D,D,A
199474.0,B,D,B,A,C,A,C,C,D,B,A,A,B,C,B,C,J,B,A,A,D,C,B,B,D,B,B,A,B,A,E,D,A,C,A,C,B,D,B
200312.0,B,C,D,B,C,B,D,A,D,G,A,A,A,C,C,C,K,D,D,B,D,C,A,A,D,B,B,A,B,D,D,C,G,A,A,C,B,C,A
