caseid,BLOCK0QID11_W1,BLOCK0QID12_W1,BLOCK0QID13_W1,BLOCK0QID14_W1,BLOCK0QID15_W1,BLOCK0QID18_W1,BLOCK0QID20_W1,BLOCK0QID21_W1,BLOCK0QID22_W1,BLOCK30QID9_1_W1,BLOCK30QID9_2_W1,BLOCK30QID9_3_W1,BLOCK30QID9_4_W1,BLOCK30QID9_5_W1,BLOCK30QID9_6_W1,BLOCK30QID9_7_W1,BLOCK30QID9_8_W1,BLOCK30QID9_9_W1,BLOCK30QID9_10_W1,BLOCK30QID9_11_W1,BLOCK30QID9_12_W1,BLOCK30QID9_13_W1,BLOCK30QID9_14_W1,BLOCK30QID9_15_W1,BLOCK30QID9_16_W1,BLOCK30QID9_17_W1,BLOCK30QID9_18_W1,BLOCK30QID9_19_W1,BLOCK30QID9_20_W1,BLOCK30QID9_21_W1,BLOCK30QID9_22_W1,BLOCK30QID9_23_W1,BLOCK30QID9_24_W1,BLOCK30QID9_25_W1,BLOCK30QID9_26_W1,BLOCK30QID9_27_W1,BLOCK30QID9_28_W1,BLOCK30QID9_29_W1,BLOCK30QID9_30_W1,BLOCK30QID9_31_W1,BLOCK30QID9_32_W1,BLOCK30QID9_33_W1,BLOCK30QID9_34_W1,BLOCK30QID9_35_W1,BLOCK30QID9_36_W1,BLOCK30QID9_37_W1,BLOCK30QID9_38_W1,BLOCK30QID9_39_W1,BLOCK30QID9_40_W1
10000051,C,B,B,C,A,K,C,D,E,A,B,B,A,B,B,A,B,B,A,B,B,B,B,B,B,B,B,A,A,A,A,A,A,B,B,A,A,B,B,A,B,B,B,B,B,B,B,B,B
10000052,C,B,A,B,B,J,B,C,E,A,B,B,B,A,B,B,B,A,A,B,A,B,B,A,B,A,B,B,B,B,A,B,A,A,A,B,B,B,A,A,B,A,A,A,B,B,A,B,B
10000053,A,B,A,C,A,I,B,E,E,B,A,A,B,A,B,A,A,A,B,B,B,B,B,A,B,A,A,A,A,B,A,B,B,B,A,A,B,B,A,A,A,A,A,B,B,B,A,A,A
10000054,A,A,B,E,A,I,B,D,D,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
10000055,A,A,B,D,A,J,B,A,E,A,A,A,B,B,B,A,A,A,A,B,A,A,A,B,B,B,B,A,B,A,A,B,A,A,A,A,A,A,A,A,B,B,B,A,A,A,A,B,A
10000056,C,B,C,D,A,B,C,C,C,B,B,A,B,A,A,A,A,A,B,B,A,A,A,A,A,A,A,B,A,A,B,A,A,A,B,B,A,A,A,A,B,A,A,A,B,A,A,B,A
10000057,A,A,B,B,A,I,B,D,D,A,B,A,B,B,B,B,B,B,B,A,B,A,B,B,B,B,B,B,B,B,A,A,A,B,B,B,B,A,B,A,B,B,B,B,A,A,A,B,B
10000058,C,B,C,D,A,A,A,A,B,A,B,A,A,A,B,B,B,A,A,B,B,B,B,A,B,B,B,B,B,A,A,A,B,A,B,B,B,A,B,B,B,B,B,A,A,B,B,A,A
10000059,B,B,A,B,A,J,B,C,E,B,A,A,B,B,B,A,A,B,B,B,B,A,B,B,B,A,A,B,A,B,B,B,A,A,B,A,B,A,A,B,B,A,B,B,B,A,B,A,B
10000060,C,A,D,D,A,A,A,C,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,B,A,B,B,B,A,B,A,A,A,B,B,A,A,A,A,A,A,A,B,A,A
10000061,D,A,C,E,A,A,C,E,C,A,A,B,A,B,B,B,A,B,B,B,A,A,B,A,A,B,B,A,B,A,A,B,B,B,A,B,B,A,A,B,B,A,B,B,B,B,B,A,B
10000062,C,A,A,C,E,L,C,D,C,A,B,B,B,B,B,A,B,B,B,B,B,A,B,A,B,B,A,B,B,B,B,A,A,B,B,A,B,B,B,B,B,B,A,B,B,B,B,B,B
10000063,A,A,C,E,B,B,B,C,D,B,B,A,B,B,A,A,B,A,B,A,A,B,A,A,A,A,A,B,B,A,B,B,A,A,A,A,B,B,A,B,B,A,A,A,A,B,B,B,A
10000064,D,A,B,E,A,K,C,D,C,B,A,A,A,B,B,A,A,B,A,B,B,A,A,A,B,A,B,A,B,B,B,B,B,A,A,B,A,B,A,A,A,A,A,A,A,A,B,A,A
10000065,A,B,C,E,A,K,A,B,B,B,A,B,A,B,B,B,B,A,B,B,B,B,B,B,B,A,B,B,B,A,B,B,B,B,B,A,B,B,B,A,B,B,B,B,B,B,B,B,B
10000066,C,A,C,F,B,B,B,C,D,A,A,B,A,B,A,A,A,B,A,B,B,B,A,B,B,A,B,A,B,A,B,A,B,A,B,B,A,B,A,B,A,A,B,A,B,A,B,A,B
10000067,A,B,C,E,A,E,B,B,D,B,B,B,B,B,A,A,A,B,A,B,A,B,B,B,B,B,B,A,A,A,A,A,B,B,A,B,B,B,A,B,A,B,A,B,A,A,B,B,B
10000068,C,B,B,E,B,K,B,C,C,A,B,B,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,A,A,A,A,B,A,B,A,B,B,A,A,B,B,B,B,A,B,B,A,A
10000069,C,B,A,D,E,K,C,A,C,A,B,A,A,B,A,A,B,A,A,B,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,B,B,A,B,A,A,B,B,B,A,A,B,B
10000070,C,B,D,E,C,G,C,A,C,A,A,B,B,B,B,B,A,B,B,A,A,B,A,B,A,B,B,B,B,A,B,B,B,B,B,A,B,A,B,B,A,B,B,B,A,B,A,B,A
10000071,C,B,B,D,B,L,C,B,C,A,B,B,A,A,A,B,A,B,A,B,A,A,B,A,B,A,A,A,B,A,B,B,A,A,A,B,B,A,A,B,B,B,B,A,B,A,A,B,B
10000072,C,A,B,D,A,I,C,A,D,B,B,A,A,A,B,B,A,A,B,B,A,B,B,B,B,B,A,B,A,A,B,B,B,A,B,B,A,B,A,B,A,A,A,B,B,B,B,B,B
10000073,C,B,C,C,A,A,A,C,B,B,A,A,A,A,B,B,B,B,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,B,A,A,A,B,B,A,A,B,B,B,A,B,A,B
10000074,C,B,D,D,A,B,B,C,D,B,B,B,B,B,B,B,B,B,B,A,B,B,A,B,A,B,A,B,B,B,A,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B
10000075,C,B,A,E,A,J,C,C,E,B,A,B,B,B,B,B,A,A,A,B,A,B,A,B,B,A,A,A,A,A,B,B,A,B,A,A,A,B,B,A,A,B,A,A,B,B,B,B,A
10000076,D,A,C,E,E,H,C,D,C,B,B,B,B,B,B,B,B,A,B,A,A,B,B,B,B,B,B,A,A,A,B,A,B,B,B,B,B,B,A,A,B,A,B,B,B,B,B,A,B
10000077,D,A,B,F,A,C,C,E,C,A,B,A,B,B,A,B,B,A,B,A,A,A,A,A,A,B,B,B,A,A,B,B,A,A,A,A,B,B,A,A,B,A,A,B,B,A,A,A,B
10000078,C,A,B,E,A,L,C,B,B,B,B,A,A,A,B,B,B,B,B,A,B,B,B,A,A,A,B,A,A,A,B,B,B,A,B,B,A,B,B,B,A,B,A,A,B,B,B,A,A
10000079,D,B,B,D,A,I,B,E,E,B,B,B,B,B,B,B,B,A,B,B,B,B,B,A,B,B,B,A,B,B,B,A,B,A,A,B,B,B,B,B,B,B,A,B,B,B,B,B,A
10000080,C,B,D,D,B,K,C,C,C,A,B,B,A,A,B,B,B,B,A,A,B,B,A,A,A,B,A,A,A,A,B,A,B,B,A,A,B,A,B,B,B,A,B,A,B,B,B,B,B
10000081,C,B,C,F,C,L,B,D,D,B,B,B,B,A,B,B,B,B,B,B,B,B,B,A,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,A,B,A,B,B,B
10000082,C,A,B,F,A,I,B,E,E,B,B,B,A,B,B,B,A,B,B,A,A,B,B,B,A,B,B,B,B,B,B,A,B,A,A,B,B,A,A,A,B,A,B,B,B,B,A,A,B
10000083,A,A,A,C,C,I,A,C,B,B,B,A,B,B,A,A,A,B,A,B,B,A,B,A,B,A,B,B,B,B,A,B,B,A,A,B,B,B,A,B,B,B,B,A,B,B,A,A,B
10000084,B,A,B,C,A,J,C,B,C,B,B,A,B,B,B,B,A,B,A,B,B,A,A,A,B,B,B,A,A,A,B,B,B,A,B,B,B,B,B,B,B,A,A,B,B,B,A,B,B
10000085,B,B,C,F,A,B,A,E,B,A,B,A,A,B,A,B,B,B,A,A,B,A,B,A,A,A,A,B,B,A,A,B,A,A,B,A,B,A,A,A,A,B,B,B,A,B,A,B,A
10000086,C,B,C,F,B,K,C,E,E,B,A,B,A,B,A,B,A,A,A,B,A,B,B,A,B,B,B,A,B,B,B,B,B,B,A,B,A,B,B,A,B,B,A,B,B,B,B,A,B
10000087,C,B,D,F,A,A,B,D,D,B,B,B,A,B,A,B,B,B,A,A,B,B,B,A,B,B,B,B,A,B,A,B,B,B,B,A,B,B,B,A,A,A,B,B,B,B,B,B,B
10000088,C,A,A,F,A,A,A,E,A,A,B,A,B,B,A,B,B,A,B,A,A,A,B,A,A,A,B,A,B,A,A,B,A,B,B,B,B,A,B,A,B,A,A,A,B,A,A,A,A
10000089,C,A,C,E,A,A,B,C,D,A,B,B,A,A,B,B,B,A,A,B,A,B,B,B,B,A,B,B,B,B,B,B,B,B,B,A,A,A,A,B,B,A,B,A,B,B,B,A,A
10000090,C,B,B,C,B,A,B,D,C,B,B,A,A,B,A,A,B,A,B,A,B,B,B,B,B,B,A,B,B,B,A,B,A,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B
10000091,C,B,B,F,B,A,D,E,C,B,B,B,B,B,A,B,A,A,B,A,B,A,B,B,A,B,B,B,A,B,B,B,B,B,B,B,A,A,A,A,B,A,A,A,A,B,B,B,A
10000092,D,A,C,F,B,A,B,E,C,B,A,A,B,B,B,B,B,B,A,A,A,A,B,B,A,A,B,A,B,B,A,B,A,B,B,B,B,A,A,A,A,A,A,A,A,B,B,B,A
10000093,D,B,C,D,A,K,C,A,E,A,A,A,A,B,B,A,B,B,A,B,A,B,A,B,A,A,A,B,B,B,A,B,A,B,B,A,A,B,A,B,A,A,A,B,A,B,B,A,A
10000094,C,A,D,E,A,A,C,A,A,B,B,B,B,B,B,B,A,B,B,B,B,A,A,B,A,A,A,B,B,B,B,A,B,B,A,B,A,B,B,A,A,B,B,B,B,B,B,A,B
10000095,D,B,D,F,A,J,B,D,D,A,B,B,B,B,B,A,B,B,B,B,B,B,A,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,B,B,B,A,B,A,B
10000096,B,A,D,C,A,B,C,A,C,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A,B,A,B,A,A,B,B,A,A,A,B,A,A,A,B,B,A,A,A,B,A,A,A,A,A
10000097,C,B,A,F,A,K,B,C,E,A,B,B,B,B,A,A,A,A,A,A,A,A,B,A,B,B,A,A,B,B,B,A,A,A,A,A,B,B,A,A,B,B,B,A,A,A,B,B,A
10000098,C,B,C,D,A,A,A,C,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,B,B,B,B,A,B,B,A,A,B,B,B,A,B,B,B,A,B,B,B,B,B,A
10000099,A,B,C,C,A,A,A,E,B,A,B,B,A,A,B,B,B,B,B,B,B,B,A,A,B,B,B,B,B,B,B,A,B,B,A,B,B,B,B,B,A,B,A,A,B,B,A,B,B
10000100,D,A,B,E,C,I,B,D,E,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B
10000101,C,B,C,E,A,K,A,E,B,B,B,B,B,B,A,A,B,A,A,B,B,B,A,B,B,B,B,A,B,B,B,B,B,A,B,A,A,A,B,A,B,B,A,A,A,B,B,B,B
10000102,B,B,D,E,A,B,B,A,D,A,B,A,A,A,A,A,B,B,A,A,B,B,B,B,A,B,B,B,B,A,B,B,B,A,B,A,A,B,A,A,B,B,B,A,B,B,A,A,B
10000103,C,B,A,E,C,B,A,E,B,B,A,A,A,B,A,B,A,A,B,B,A,B,A,B,B,B,A,B,A,B,A,B,B,A,A,B,A,B,B,A,B,A,B,B,B,A,B,B,A
10000104,A,A,B,E,A,B,A,E,A,A,B,B,A,A,A,A,A,B,A,B,A,A,A,A,B,A,A,B,A,B,A,B,A,A,B,A,A,A,B,A,A,A,A,B,A,A,A,A,A
10000105,D,B,A,E,C,L,B,B,E,B,B,A,B,B,A,B,A,B,B,A,B,A,B,B,B,B,B,A,B,B,B,B,A,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,A
10000106,B,B,A,B,C,L,B,D,D,A,B,B,A,A,A,A,A,B,A,B,B,B,A,B,B,A,B,B,A,A,A,B,B,A,B,B,A,B,B,A,B,B,B,B,A,B,B,B,B
10000107,C,A,B,E,A,B,C,E,C,B,A,A,B,B,A,A,A,B,A,A,B,B,A,B,B,B,B,A,B,B,B,B,B,A,B,A,A,B,B,B,B,B,A,B,B,B,B,B,B
10000108,B,B,B,E,D,J,B,B,E,B,B,B,B,A,A,B,B,B,A,B,A,B,B,B,B,B,A,A,B,B,B,B,A,A,B,B,B,B,B,B,B,A,B,A,B,B,B,B,B
10000109,C,B,A,B,B,A,C,D,E,A,A,A,B,B,B,A,B,B,A,A,B,B,A,B,B,B,A,B,B,A,B,A,A,A,A,A,B,B,B,A,B,B,A,A,A,B,B,B,B
10000110,B,B,C,C,A,L,B,B,E,A,B,A,B,A,A,A,B,A,B,B,B,A,B,B,B,B,B,B,B,B,A,B,A,B,A,B,B,A,B,A,B,B,B,B,B,B,A,B,B
10000111,C,B,C,F,C,B,D,E,C,B,B,A,B,B,B,B,B,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,B,B,B,B,A,B,B,A,B,A,B,B,B,B,B,B,B
10000112,E,B,C,E,A,L,B,C,D,B,B,B,B,B,B,A,B,B,B,A,B,B,A,B,A,B,B,B,A,A,B,B,B,A,B,A,B,B,B,B,A,B,A,B,B,B,B,A,B
10000113,C,B,B,C,A,A,B,A,C,A,B,A,A,A,B,A,A,A,B,B,A,A,B,B,B,A,B,A,B,A,B,B,B,A,B,B,B,B,B,A,B,A,B,B,B,B,A,B,B
10000114,C,A,C,C,B,J,B,B,D,B,A,A,B,A,A,A,A,A,A,A,A,B,A,B,A,B,A,A,A,B,A,A,A,B,A,B,B,A,B,A,B,B,B,B,B,A,A,B,A
10000115,B,B,A,E,B,J,C,D,E,A,B,B,B,B,A,B,B,A,A,B,B,B,B,B,B,A,A,B,A,B,B,A,A,A,B,A,A,B,B,A,B,B,A,A,B,A,B,A,B
10000116,C,A,D,E,A,A,A,E,A,A,A,B,A,A,B,A,A,A,B,A,A,A,B,A,A,A,B,A,A,A,A,B,B,A,A,A,A,A,B,A,A,A,A,A,B,A,B,A,B
10000117,C,A,C,A,B,L,C,B,C,A,B,B,B,B,B,A,B,A,A,A,A,A,A,A,B,A,A,A,B,A,A,B,A,A,A,B,A,A,B,A,B,A,A,A,A,A,A,A,A
10000118,C,B,C,F,A,A,A,A,A,A,B,B,B,B,B,B,B,A,B,B,A,A,B,B,A,B,A,B,A,B,A,A,B,B,A,B,B,B,A,B,B,B,B,A,B,A,B,B,A
10000119,A,A,D,F,A,B,A,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,A,B,A,B,B,B,B,A,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B
10000120,B,B,C,F,A,A,A,E,B,A,A,A,A,B,B,B,A,A,B,A,A,A,B,A,B,B,A,A,A,A,A,B,A,A,B,B,A,B,A,A,B,A,B,A,A,B,B,A,B
10000121,B,A,D,E,E,L,C,C,B,B,B,A,B,B,B,B,A,B,B,B,B,B,A,B,B,B,B,B,A,B,A,B,A,A,B,B,B,B,A,A,B,B,A,B,A,B,B,B,B
10000122,C,B,D,E,A,E,B,E,E,A,B,B,A,B,A,B,A,A,B,B,A,A,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,A,B,A,B,B,B,B,B,B
10000123,C,A,B,E,A,J,C,E,C,A,B,B,B,A,A,B,A,B,B,B,A,A,A,B,A,A,A,B,B,B,A,A,A,A,B,A,B,A,B,A,B,B,A,A,B,B,B,A,A
