caseid,BLOCK0QID13_W1,BLOCK0QID12_W1,BLOCK0QID14_W1,BLOCK0QID20_W1,BLOCK0QID22_W1,BLOCK0QID21_W1,BLOCK0QID18_W1,BLOCK0QID15_W1
10000147,B,A,E,A,A,B,B,C
10000153,C,A,E,A,B,B,A,A
10000155,B,A,E,A,B,C,L,A
10000157,B,B,D,A,A,E,A,A
10000158,D,B,F,B,C,B,K,B
10000165,C,B,F,C,C,E,A,A
10000166,D,A,D,A,A,E,A,A
10000169,B,B,B,C,C,B,B,A
10000172,B,B,C,A,C,E,L,A
10000174,B,A,D,B,E,C,J,C
10000178,D,B,B,B,D,B,A,A
10000181,C,B,E,B,D,C,A,A
10000182,B,A,D,C,C,A,J,E
10000186,C,B,C,C,C,D,K,D
10000189,D,A,E,A,B,D,B,A
10000197,C,B,D,B,D,E,K,B
10000199,B,B,F,A,A,E,A,A
10000201,C,A,E,C,B,E,A,A
10000202,D,B,D,C,C,A,A,A
10000207,B,B,E,C,D,E,B,A
10000210,C,B,B,B,C,E,B,D
10000214,A,B,C,C,C,A,K,E
10000215,C,B,C,B,C,A,K,B
10000217,B,B,E,C,C,A,J,A
10000219,D,A,D,B,D,C,A,A
10000224,D,A,F,C,C,E,A,A
10000232,A,A,E,C,C,A,L,D
10000233,B,A,D,B,C,A,A,A
10000239,B,A,B,A,B,B,A,A
10000245,D,B,D,B,C,C,J,A
10000246,B,B,B,B,D,A,L,B
10000251,B,A,E,B,D,B,J,A
10000253,C,B,B,B,D,E,A,A
10000254,B,B,E,A,B,E,A,A
10000255,B,A,B,A,B,B,A,A
10000261,C,A,C,B,D,A,A,A
10000263,B,A,E,B,D,E,B,B
10000264,C,A,F,A,B,C,B,A
10000277,B,B,E,B,E,E,E,A
10000279,C,B,C,B,D,D,A,A
10000281,C,B,E,A,B,E,B,C
10000283,D,A,E,B,D,C,J,A
10000285,C,A,E,A,B,D,A,B
10000288,A,A,E,C,B,D,A,A
10000289,C,B,E,A,A,B,B,B
10000292,C,A,E,A,B,D,I,A
10000296,B,B,D,A,A,B,K,A
10000308,B,A,B,B,C,C,J,A
10000310,C,A,E,B,E,D,J,C
10000311,B,A,C,A,B,D,A,A
10000318,C,B,F,C,D,D,A,A
10000322,B,A,E,B,C,E,J,D
10000326,C,A,B,B,E,A,I,A
10000331,A,B,B,D,E,C,L,A
10000332,B,B,C,A,C,A,A,A
10000333,C,A,B,C,C,C,I,A
10000334,C,B,E,A,B,E,B,A
10000335,C,B,E,B,D,D,J,A
10000344,B,A,C,C,C,C,A,E
10000347,B,B,B,C,C,A,B,D
10000349,B,B,E,B,C,E,B,C
10000354,C,A,D,C,C,C,K,A
10000355,D,B,F,A,B,B,A,A
10000356,D,A,C,A,A,B,B,B
10000357,B,A,C,B,D,B,J,A
10000361,D,A,C,C,C,B,A,A
10000362,A,A,E,A,B,C,C,A
10000363,A,B,C,C,D,D,L,A
10000375,C,B,B,A,B,A,A,A
10000378,D,A,D,C,C,D,A,A
10000383,B,B,C,C,C,B,I,A
10000387,A,B,D,A,A,C,B,A
10000392,A,B,B,C,E,C,A,A
10000393,D,A,E,A,B,C,K,A
10000396,B,B,E,B,E,D,A,B
10000398,B,B,F,A,B,E,A,A
10000402,C,B,D,A,B,B,A,A
10000403,C,A,F,C,D,E,F,A
10000404,D,A,F,C,E,A,I,A
10000405,C,A,C,A,B,D,A,A
10000412,C,A,B,A,B,B,B,A
10000413,B,A,D,A,D,D,I,B
10000414,B,B,C,B,E,A,L,B
10000422,B,A,E,A,E,C,B,A
10000423,C,A,D,B,E,D,K,A
10000424,C,B,E,B,D,E,A,A
10000426,C,B,E,A,B,D,A,A
10000430,D,B,D,A,B,C,K,A
10000432,B,A,E,C,C,A,J,B
10000433,C,A,E,C,C,B,L,D
10000437,B,B,E,B,E,A,I,A
10000441,C,B,E,B,C,B,B,B
10000445,A,B,D,B,C,B,B,D
10000446,C,B,E,A,B,E,A,A
10000447,B,A,E,C,C,B,B,B
10000453,B,A,C,B,D,E,J,A
10000454,C,B,C,B,D,A,A,B
10000455,B,B,C,B,C,D,B,A
10000457,A,A,B,A,B,A,L,A
10000458,B,A,E,C,C,E,J,E
10000459,B,A,B,C,C,C,L,A
10000463,B,A,E,B,D,A,I,A
10000466,D,B,B,B,E,A,J,A
10000467,A,B,C,B,C,B,E,A
10000470,B,A,C,B,E,A,I,D
10000472,B,A,F,B,D,E,I,D
10000473,B,A,D,C,B,C,A,A
10000476,A,A,C,C,C,C,J,D
10000484,C,B,E,A,C,C,E,A
10000485,C,B,C,B,E,E,J,A
10000486,C,A,D,A,A,B,K,A
10000487,D,B,D,C,C,A,A,B
10000491,A,A,D,B,D,A,J,D
10000493,B,A,B,C,E,B,K,D
10000494,B,A,C,C,D,B,K,A
10000499,C,A,F,B,D,B,A,B
10000501,B,A,E,A,A,C,A,A
10000502,B,A,E,C,E,B,L,A
10000506,B,B,D,A,C,C,L,B
10000510,B,A,E,A,B,D,A,A
10000515,B,B,F,C,C,B,B,B
10000519,B,A,B,C,C,D,J,B
10000524,B,A,F,B,E,E,L,C
10000527,C,B,B,A,B,C,B,A
10000535,C,B,E,A,A,E,A,A
10000538,D,B,E,B,D,D,B,B
10000541,C,A,D,C,A,C,A,A
10000544,A,B,B,B,D,A,I,A
10000545,D,B,C,B,D,B,K,A
10000547,B,B,D,B,D,B,L,A
10000549,A,B,D,C,D,E,K,A
10000550,B,A,E,B,E,D,K,A
10000553,C,B,F,B,E,A,J,A
10000554,B,A,E,C,E,A,J,A
10000560,B,A,E,A,C,D,K,B
10000561,C,B,D,C,C,A,J,A
10000562,B,A,C,B,D,B,A,A
10000568,C,A,D,A,B,C,A,A
10000572,D,B,B,A,A,B,B,A
10000573,C,B,E,C,C,E,A,A
10000578,C,A,E,C,C,A,A,A
10000586,B,A,B,B,E,C,I,A
10000587,B,B,E,C,C,B,A,A
10000588,C,B,E,A,B,E,A,A
10000591,B,B,B,B,E,A,E,B
10000593,B,A,F,B,E,E,B,A
10000598,C,B,C,B,C,E,J,A
10000599,B,B,E,C,C,D,I,A
10000603,A,A,B,A,B,C,B,B
10000616,C,A,C,C,C,E,L,A
10000625,D,A,E,A,A,C,A,A
10000629,A,A,C,C,E,B,I,A
10000633,B,B,C,B,D,E,B,A
10000634,A,B,B,C,C,C,K,B
10000636,C,B,C,A,A,C,A,A
10000637,B,B,E,A,A,B,B,D
10000638,D,B,D,B,E,A,E,A
10000642,C,B,E,C,B,C,K,E
10000644,B,B,E,C,D,B,J,A
10000645,C,A,D,B,C,C,B,D
10000650,C,A,E,A,B,A,A,C
10000651,D,A,D,C,A,C,K,A
10000654,C,B,E,A,B,C,K,A
10000656,A,A,E,A,C,D,A,A
10000658,D,A,F,C,C,A,A,A
10000659,B,B,E,C,D,C,I,A
10000665,C,B,C,A,A,B,K,A
10000670,B,A,D,A,B,E,A,A
10000671,D,B,E,B,D,A,L,A
10000673,A,B,D,A,A,E,A,A
10000675,B,B,C,B,C,B,A,A
10000679,C,A,F,B,D,D,A,A
10000680,A,A,E,B,C,B,K,B
10000681,B,A,C,C,C,B,A,A
10000684,A,A,E,A,D,D,A,A
10000686,A,A,D,C,D,E,J,B
10000687,D,B,F,A,B,D,B,A
10000689,C,B,D,C,B,B,A,B
10000691,C,B,E,C,C,D,K,A
10000693,C,B,F,A,B,B,A,A
10000695,A,B,E,C,C,E,A,A
10000698,C,B,C,A,A,A,A,A
10000703,C,B,F,C,B,D,A,A
10000705,C,B,C,C,C,D,K,A
10000710,B,B,E,A,B,E,I,A
10000711,C,B,F,B,E,D,A,A
10000716,A,A,C,C,C,A,L,D
10000720,C,A,E,C,C,B,L,A
10000726,C,B,F,B,D,E,A,B
10000728,A,A,E,A,B,A,A,B
10000730,A,A,B,A,C,A,I,D
10000732,C,A,F,B,D,E,J,B
10000733,C,A,E,A,B,B,A,A
10000735,C,B,F,A,B,B,F,A
10000736,B,A,E,C,E,C,J,A
10000743,B,B,D,C,C,C,A,A
10000747,B,A,F,B,D,B,A,A
10000749,A,B,E,B,E,D,J,A
10000750,D,B,C,A,B,B,A,A
10000752,B,B,B,A,C,A,K,A
10000754,C,B,E,B,D,D,B,B
10000759,C,B,C,C,C,B,J,A
10000763,B,B,D,C,C,D,L,A
10000768,B,B,B,B,D,B,K,B
10000769,B,A,D,B,E,C,I,A
10000770,B,A,E,B,D,E,A,B
10000772,A,A,E,C,C,D,L,D
10000773,D,B,E,B,D,C,I,A
10000774,A,B,E,A,B,C,B,A
10000775,D,B,B,C,D,A,A,A
10000782,C,A,C,A,B,A,A,A
10000784,A,B,B,D,C,A,A,B
10000785,D,B,C,C,D,A,J,A
10000786,A,A,C,C,B,A,B,C
10000789,C,B,C,B,D,A,K,B
10000790,D,B,E,B,E,B,A,A
10000791,D,A,F,B,D,E,A,A
10000799,A,B,B,B,C,E,L,B
10000806,C,A,E,C,A,E,A,A
10000809,B,B,E,C,E,B,I,A
10000811,C,A,C,C,C,A,A,A
10000812,C,A,E,C,B,D,B,A
10000813,C,B,D,A,C,C,B,A
10000817,D,B,C,B,C,A,A,B
10000818,C,B,D,B,D,C,A,A
10000820,C,A,C,C,B,C,K,B
10000825,B,A,C,C,E,D,L,A
10000826,D,B,C,C,D,A,K,E
10000828,B,B,C,B,D,D,L,B
10000830,B,A,D,A,B,D,B,D
10000831,C,A,E,B,D,E,I,C
10000838,D,B,C,B,E,B,I,A
10000840,B,A,F,C,E,A,L,E
10000842,A,A,B,B,E,B,I,B
10000848,A,A,B,B,D,E,L,A
10000849,B,A,C,C,C,A,A,B
10000850,A,A,B,A,C,B,A,A
10000852,B,B,E,A,A,E,D,A
10000854,B,A,C,B,D,C,D,B
10000856,C,A,C,A,B,E,A,A
10000858,C,B,D,A,C,E,A,A
10000864,D,A,E,B,C,E,B,A
10000868,A,A,B,C,C,B,A,B
10000869,B,B,C,B,C,B,L,B
10000871,B,A,E,A,A,E,B,A
10000874,B,A,C,B,D,B,K,B
10000878,C,B,E,C,C,E,B,C
10000880,C,B,B,A,A,B,K,A
10000882,B,A,E,B,D,D,I,A
10000883,C,B,E,B,C,A,A,B
10000892,B,A,C,A,B,C,A,A
10000896,C,A,C,C,C,B,L,B
10000897,A,A,B,B,D,A,I,A
10000898,C,A,F,A,A,E,B,A
10000899,A,A,E,B,D,C,A,E
10000900,B,A,F,A,C,E,G,C
10000901,C,B,D,B,E,D,L,A
10000905,D,B,D,B,C,B,A,B
10000911,C,B,F,B,D,E,B,A
10000912,D,B,B,A,A,A,A,A
10000913,A,A,C,C,C,C,L,C
10000915,C,A,B,C,C,C,L,A
10000925,A,B,C,C,E,D,B,A
10000927,A,B,C,B,D,C,B,B
10000928,B,A,F,C,C,E,B,A
10000931,A,A,E,A,B,E,B,A
10000937,D,B,B,B,C,B,L,A
10000939,A,B,C,C,C,B,L,A
10000941,B,A,F,B,A,C,B,B
10000942,A,A,B,A,A,C,J,A
10000949,C,B,E,B,D,E,L,A
10000950,C,A,E,C,D,D,L,A
10000952,B,B,D,C,D,B,J,A
10000953,B,B,E,C,D,B,J,E
10000955,A,B,B,B,E,D,L,A
10000963,C,A,D,A,A,D,A,A
10000969,D,A,C,A,B,B,A,A
10000975,A,B,B,A,A,A,K,A
10000981,C,B,E,C,B,A,A,B
10000983,A,A,B,A,B,B,K,A
10000987,D,A,D,B,D,C,I,A
10000988,A,B,D,B,E,B,J,B
10000992,B,A,B,A,B,E,K,D
10000995,B,A,B,B,D,C,L,D
10001000,B,A,E,A,B,B,J,A
10001001,A,B,E,B,E,E,J,A
10001011,D,A,F,A,B,E,A,A
10001015,A,A,C,B,D,A,I,A
10001017,C,A,E,B,E,D,K,A
10001018,B,B,E,B,D,C,K,A
10001022,C,B,E,A,B,E,L,A
10001023,D,B,C,B,D,D,K,A
10001032,B,A,E,C,B,E,A,A
10001034,C,B,E,B,D,E,A,A
10001035,A,B,C,A,B,C,K,A
10001040,A,A,C,B,E,E,B,A
10001042,A,A,E,A,B,B,B,A
10001043,B,A,F,B,D,D,I,A
10001044,A,A,C,C,C,D,L,B
10001048,C,A,D,C,E,A,K,A
10001049,B,A,F,A,B,D,A,C
10001054,B,B,E,B,D,C,J,A
10001059,B,A,F,B,E,B,I,A
10001063,B,A,F,C,D,E,J,A
10001067,C,B,C,C,C,C,J,A
10001068,B,B,C,C,B,B,A,A
10001071,C,B,D,A,B,E,A,A
10001072,D,B,F,A,B,B,A,A
10001078,C,A,E,C,B,A,A,A
10001080,B,B,E,A,B,E,C,A
10001084,A,A,E,B,D,C,A,A
10001086,C,A,C,C,C,D,I,A
10001087,B,A,E,C,D,E,J,A
10001090,B,B,E,B,C,C,B,A
10001093,C,A,C,B,D,E,K,A
10001095,B,A,E,B,D,E,A,A
10001097,C,B,E,C,E,B,K,A
10001107,A,A,E,C,C,E,F,B
10001115,B,B,B,A,A,A,A,A
10001116,B,A,B,C,D,B,A,B
10001117,A,B,E,C,C,B,I,A
10001118,A,A,E,C,C,C,A,D
10001119,A,B,C,C,C,A,L,B
10001124,C,A,A,C,B,B,J,A
10001125,C,B,E,D,C,D,B,A
10001128,A,B,E,B,E,D,A,B
10001133,B,B,E,C,C,D,B,D
10001135,C,B,B,C,A,C,K,A
10001138,C,A,B,A,B,C,A,A
10001145,C,A,F,A,A,E,A,A
10001146,B,B,E,C,C,A,J,A
10001150,B,B,B,A,E,B,L,A
10001152,D,B,E,B,D,C,B,D
10001156,A,A,E,B,D,C,B,D
10001158,A,B,E,C,E,E,B,D
10001159,B,B,C,C,C,A,A,A
10001161,B,A,E,C,C,C,A,B
10001166,D,B,C,C,E,C,J,A
10001167,D,B,C,A,B,A,A,A
10001172,A,B,C,C,C,A,A,E
10001173,C,A,C,A,A,C,A,A
10001174,B,A,E,C,C,A,B,A
10001177,C,B,C,A,B,C,A,A
10001180,B,B,B,B,C,B,B,B
10001184,B,A,E,C,C,B,A,C
10001187,B,A,F,B,E,D,J,A
10001189,C,A,B,A,B,B,A,A
10001191,B,B,B,A,B,D,K,A
10001194,B,A,E,C,C,A,L,A
10001198,C,A,E,A,B,B,B,A
10001201,B,B,E,B,D,B,A,B
10001205,B,A,E,C,C,E,J,A
10001207,B,B,C,C,C,C,J,A
10001208,D,B,C,A,B,B,A,A
10001211,B,A,E,C,C,B,J,D
10001217,B,A,C,A,B,E,B,A
10001220,D,B,E,A,B,E,A,A
10001225,B,A,D,C,C,C,J,A
10001226,C,A,C,A,B,A,A,A
10001227,C,B,B,C,B,A,K,E
10001228,A,B,E,C,C,D,J,A
10001231,C,A,E,C,C,E,A,A
10001232,C,A,F,C,B,C,B,A
10001233,C,A,E,A,B,E,A,A
10001235,A,B,E,C,E,E,J,E
10001238,C,B,E,A,B,D,A,A
10001242,D,B,D,B,D,B,A,A
10001246,C,A,E,D,A,E,A,A
10001250,B,A,E,A,A,B,B,A
10001257,B,B,F,B,D,E,K,C
10001258,B,A,E,B,E,B,A,A
10001259,C,B,B,A,B,A,A,A
10001262,B,B,C,D,C,C,L,B
10001263,C,A,B,B,E,D,I,A
10001267,C,B,E,B,D,D,A,A
10001269,C,B,E,A,A,C,B,A
10001272,C,A,E,C,C,D,J,A
10001273,C,A,E,B,E,E,L,A
10001275,C,B,F,A,B,E,A,A
10001277,A,A,C,B,D,B,J,A
10001279,B,B,F,A,B,E,A,A
10001280,C,B,C,A,B,A,B,A
10001287,D,A,F,A,A,E,J,B
10001291,B,A,D,C,C,A,I,C
10001294,A,B,F,B,D,D,J,C
10001296,C,B,F,C,C,D,B,A
10001300,A,A,E,C,B,D,B,A
10001301,B,B,E,A,B,E,B,D
10001304,B,A,D,C,C,A,J,D
10001312,B,B,D,A,A,C,A,A
10001314,C,A,B,B,D,C,J,A
10001318,A,B,B,B,D,B,L,D
10001322,A,A,E,C,C,C,A,A
10001323,A,B,B,B,D,B,J,A
10001324,C,A,E,B,C,E,A,A
10001337,B,A,E,C,C,C,A,B
10001343,B,A,E,B,C,C,I,A
10001346,C,A,C,B,D,A,J,A
10001347,A,A,C,C,C,C,L,D
10001356,A,B,C,B,D,D,A,A
10001360,D,A,E,B,D,C,B,A
10001361,B,B,E,A,A,E,A,A
10001365,A,B,E,B,D,A,K,B
10001367,D,B,C,A,A,B,K,A
10001368,B,B,D,C,C,A,J,E
10001372,D,A,F,A,A,D,B,A
10001376,B,B,B,A,C,A,L,A
10001378,A,B,C,B,D,E,L,C
10001379,A,A,E,A,B,B,A,A
10001383,D,B,D,B,D,A,K,B
10001385,C,B,C,B,D,E,D,A
10001389,A,A,C,A,B,B,L,D
10001392,A,B,B,A,B,C,K,A
10001398,C,A,E,B,D,E,A,A
10001400,B,B,C,A,C,B,L,A
10001403,B,B,C,A,A,C,D,E
10001404,C,B,C,B,C,A,L,B
10001413,B,B,F,A,C,B,D,A
10001417,C,B,E,B,E,C,L,A
10001425,C,A,F,C,D,E,I,A
10001428,C,B,F,C,B,A,A,E
10001432,B,A,C,A,B,A,I,A
10001433,C,B,E,B,C,C,B,B
10001437,C,B,F,A,B,E,J,A
10001440,A,A,C,C,D,D,B,A
10001442,D,B,D,B,E,C,J,A
10001444,B,A,C,C,C,B,J,A
10001446,A,B,C,B,D,D,F,C
10001447,A,A,C,A,B,B,K,B
10001450,A,A,E,A,B,B,K,D
10001455,A,A,C,C,C,A,A,B
10001457,C,A,E,D,C,C,L,A
10001459,C,B,F,A,C,E,B,A
10001460,D,A,E,C,C,D,I,A
10001462,C,B,C,C,C,C,A,B
10001466,C,B,E,C,C,C,L,B
10001470,C,B,E,C,C,C,I,A
10001472,C,B,E,B,D,C,I,A
10001476,A,B,D,A,A,D,B,A
10001479,B,A,C,B,E,B,K,A
10001480,C,B,D,A,B,A,A,A
10001481,B,A,E,C,C,C,A,D
10001486,D,B,D,A,B,B,A,A
10001488,C,B,D,A,B,A,A,A
10001489,C,A,E,C,C,E,J,E
10001492,A,B,C,A,B,E,B,D
10001496,D,A,E,B,E,E,J,A
10001498,A,A,C,A,B,A,L,B
10001503,B,A,D,B,D,D,I,A
10001515,A,A,C,A,B,C,A,A
10001518,A,A,B,C,C,C,J,A
10001519,C,A,D,C,C,E,J,A
10001520,C,A,C,A,B,D,L,A
10001522,A,B,E,B,E,C,B,B
10001523,C,A,F,B,B,E,B,A
10001530,A,A,C,A,B,C,J,A
10001538,D,B,B,B,D,A,A,B
10001539,B,B,F,B,E,A,J,A
10001540,B,A,C,C,D,A,A,B
10001543,C,B,C,B,D,A,A,A
10001544,A,B,E,A,B,C,A,A
10001548,B,A,D,C,C,E,K,A
10001554,B,B,E,B,C,D,L,E
10001555,C,B,E,B,D,E,L,B
10001556,B,A,E,C,C,E,B,B
10001557,B,A,E,A,B,D,B,C
10001561,A,B,B,B,E,B,A,A
10001562,D,A,B,A,B,A,L,A
10001563,C,B,E,B,D,C,K,A
10001572,B,B,E,B,E,C,A,B
10001576,D,A,F,A,A,D,A,A
10001578,A,B,E,B,D,E,I,A
10001579,B,A,C,B,E,D,J,B
10001581,B,B,D,C,C,C,L,D
10001587,B,B,C,C,E,D,L,A
10001590,C,A,F,B,D,E,A,A
10001592,D,B,F,B,D,B,J,A
10001593,D,A,F,A,A,C,A,A
10001603,A,A,C,B,E,C,J,A
10001605,A,A,B,A,B,A,K,E
10001609,C,A,E,C,C,E,K,E
10001610,A,B,B,A,B,C,A,A
10001612,B,A,B,A,B,B,A,B
10001620,C,B,E,A,B,B,B,A
10001623,B,B,E,B,D,B,A,B
10001624,B,A,C,C,C,A,A,E
10001639,C,A,F,A,A,E,B,A
10001643,A,A,C,A,B,C,D,A
10001648,B,A,E,C,C,E,J,A
10001652,C,A,E,A,B,E,A,A
10001653,B,A,B,C,C,A,K,A
10001661,B,B,E,C,A,B,A,A
10001663,D,B,B,C,D,A,A,A
10001666,B,A,F,A,B,C,A,A
10001669,B,B,D,A,A,E,B,A
10001670,C,B,C,B,D,B,J,A
10001676,C,B,E,B,D,C,B,D
10001680,C,A,C,A,B,D,E,A
10001681,A,A,E,D,D,C,L,D
10001685,B,B,E,C,B,A,L,B
10001687,A,B,C,A,B,C,L,A
10001689,D,B,C,C,C,B,A,A
10001691,B,A,C,B,E,D,J,A
10001693,B,A,C,C,E,A,I,D
10001694,B,A,C,B,D,B,I,A
10001696,B,B,E,B,D,C,L,A
10001697,B,B,E,A,A,D,A,A
10001698,D,B,C,B,C,D,K,A
10001707,D,A,B,D,C,B,K,A
10001708,A,B,C,B,E,C,L,A
10001709,B,B,E,B,D,E,J,E
10001711,C,B,A,C,C,A,A,A
10001712,B,A,E,B,D,C,F,B
10001714,D,A,F,C,B,B,A,A
10001715,B,A,E,B,D,D,B,C
10001718,C,B,B,A,B,C,L,A
10001724,B,B,B,B,D,B,A,B
10001725,C,B,D,C,C,A,A,A
10001736,A,A,E,B,D,D,J,D
10001738,C,B,B,A,D,C,L,A
10001741,B,B,C,B,D,B,I,A
10001751,B,A,E,B,D,D,A,A
10001753,A,A,C,B,E,B,J,D
10001754,C,A,C,B,D,C,B,A
10001760,A,B,B,C,C,A,K,A
10001763,C,A,E,C,C,E,J,A
10001767,D,A,E,C,C,E,I,A
10001772,D,B,E,B,D,B,B,A
10001774,D,B,D,B,D,B,A,E
10001776,B,B,E,B,D,E,I,C
10001777,A,A,C,B,C,C,G,C
10001780,D,A,D,B,E,B,B,A
10001782,C,B,D,D,B,D,A,B
10001787,B,A,E,C,C,A,A,A
10001789,A,B,B,C,C,B,L,A
10001795,B,A,E,C,D,D,A,A
10001798,C,B,C,A,B,B,K,A
10001805,C,B,C,A,B,A,A,A
10001807,B,A,D,A,B,E,K,A
10001809,B,B,E,C,D,B,L,B
10001812,D,B,C,B,E,E,J,A
10001814,B,B,E,C,C,C,J,A
10001815,A,A,C,C,C,D,J,B
10001816,A,B,B,C,E,B,K,A
10001823,B,A,A,B,E,A,L,A
10001825,C,A,E,C,E,E,J,B
10001829,B,A,C,B,E,C,J,E
10001830,C,B,C,B,E,E,I,A
10001838,B,B,B,C,C,D,K,B
10001841,B,A,D,B,D,C,A,B
10001842,D,B,C,A,A,B,B,A
10001847,B,A,D,C,D,C,I,A
10001848,B,A,E,B,E,E,B,A
10001855,B,A,E,B,D,D,A,A
10001856,C,B,C,C,C,E,K,B
10001858,C,B,E,A,B,C,A,A
10001859,B,B,C,B,D,E,B,A
10001867,A,B,E,B,E,B,J,A
10001869,B,A,E,C,C,B,A,E
10001871,B,B,F,C,C,E,K,A
10001873,A,B,E,B,D,B,L,E
10001875,B,B,C,D,C,D,K,E
10001880,D,A,C,C,C,C,A,A
10001881,C,B,D,A,B,E,L,A
10001882,B,B,B,B,D,B,L,A
10001885,D,B,E,B,C,B,K,B
10001887,A,A,C,C,D,E,K,A
10001891,D,A,F,A,A,E,A,B
10001892,C,B,D,A,A,B,A,A
10001894,B,B,E,B,D,E,K,D
10001896,A,A,B,A,B,C,B,D
10001897,B,B,E,B,D,B,J,A
10001899,B,B,D,B,D,A,J,A
10001906,D,B,F,C,C,E,A,A
10001910,C,B,D,A,B,A,A,A
10001913,C,A,F,A,B,E,B,D
10001914,B,A,F,B,D,E,A,A
10001915,C,A,F,A,B,E,F,A
10001919,C,A,C,A,B,B,B,A
10001920,D,B,C,A,C,A,K,B
10001921,C,A,B,A,B,D,A,A
10001925,B,B,F,A,B,E,B,A
10001926,B,A,C,C,D,C,I,A
10001929,C,A,F,B,E,E,A,A
10001935,B,A,F,C,C,C,G,A
10001944,A,A,B,A,B,D,A,A
10001947,A,B,F,A,C,E,D,B
10001950,B,B,E,C,E,D,A,A
10001951,A,B,C,A,B,E,K,A
10001954,B,B,E,C,C,B,K,B
10001955,B,A,C,A,A,D,K,D
10001956,B,A,E,B,D,A,K,A
10001957,C,A,C,B,D,C,L,B
10001959,D,B,E,A,A,C,A,A
10001960,A,A,C,A,A,B,K,A
10001962,C,B,C,C,C,A,K,E
10001964,C,A,F,A,A,E,A,A
10001965,B,A,E,B,C,E,L,A
10001966,B,A,B,D,E,C,I,D
10001967,C,A,C,B,D,E,L,A
10001979,C,B,D,A,C,C,A,A
10001981,C,A,F,C,C,E,L,C
10001983,B,B,E,A,B,E,A,A
10001984,C,A,E,B,C,C,I,D
10001985,B,B,C,B,D,E,A,A
10001986,C,A,B,A,B,B,A,A
10001988,B,A,F,B,D,D,L,A
10001999,C,B,E,B,D,A,L,A
10002001,C,A,D,B,D,A,J,A
10002005,D,A,E,C,C,D,B,D
10002007,A,A,A,A,B,C,A,D
10002019,C,B,E,B,D,E,J,E
10002024,C,B,F,B,E,E,J,A
10002025,C,A,E,B,C,D,J,E
10002026,B,B,E,B,E,D,A,D
10002035,B,B,E,A,B,D,B,D
10002039,B,B,F,B,D,E,B,A
10002045,B,A,E,B,D,D,K,A
10002048,C,A,C,A,B,D,A,A
10002049,A,A,D,A,B,B,K,A
10002058,B,B,D,B,D,A,A,B
